Node_ID,Elevation_Smoothen_ft,Curve_Current_degrees,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Cumulative_Length_ft
67,828.0801,0.54026,POINT (-79.7821 36.06957),-79.7821,36.06957,0,0,0,3350
68,827.8210714,3.74,POINT (-79.7819 36.06959),-79.7819,36.06959,0,0,0,3400
69,827.6052429,0,POINT (-79.7818 36.06961),-79.7818,36.06961,0,0,0,3450
70,827.4037857,0.00054,POINT (-79.7817 36.06964),-79.7817,36.06964,0,0,0,3500
71,827.2108714,0.00054,POINT (-79.7815 36.06967),-79.7815,36.06967,0,0,0,3550
72,824.6165143,0.00018,POINT (-79.7814 36.06969),-79.7814,36.06969,0,0,0,3600
73,824.0555714,0.0009,POINT (-79.7813 36.06972),-79.7813,36.06972,0,0,0,3650
74,823.7625,0.0009,POINT (-79.7811 36.06975),-79.7811,36.06975,0,0,0,3700
75,823.4329857,0.00018,POINT (-79.781 36.06977),-79.781,36.06977,0,1,0,3750
76,823.0417857,0.00054,POINT (-79.7809 36.0698),-79.7809,36.0698,0,0,0,3800
77,822.6187143,0.00054,POINT (-79.7807 36.06983),-79.7807,36.06983,0,0,0,3850
78,822.1152857,0.00018,POINT (-79.7806 36.06985),-79.7806,36.06985,0,0,0,3900
79,823.9876571,0.0009,POINT (-79.7805 36.06988),-79.7805,36.06988,0,0,0,3950
80,823.7872571,0.0009,POINT (-79.7803 36.0699),-79.7803,36.0699,0,0,0,4000
81,823.3028286,0.00018,POINT (-79.7802 36.06993),-79.7802,36.06993,0,0,0,4050
82,822.8025857,0.00072,POINT (-79.7801 36.06996),-79.7801,36.06996,0,0,0,4100
83,822.3418,0.0009,POINT (-79.7799 36.06998),-79.7799,36.06998,0,0,0,4150
84,821.9325429,0.0009,POINT (-79.7798 36.07001),-79.7798,36.07001,0,0,0,4200
85,821.5844714,0.0009,POINT (-79.7797 36.07004),-79.7797,36.07004,0,0,0,4250
86,821.2543714,4.46644,POINT (-79.7795 36.07006),-79.7795,36.07006,0,0,0,4300
87,820.9367857,0.40822,POINT (-79.7794 36.07008),-79.7794,36.07008,0,0,0,4350
88,820.5791571,0.00074,POINT (-79.7793 36.07011),-79.7793,36.07011,0,0,0,4400
89,820.2326429,0,POINT (-79.7791 36.07013),-79.7791,36.07013,0,0,0,4450
90,819.8615143,0.00014,POINT (-79.779 36.07015),-79.779,36.07015,0,0,0,4500
91,819.4153143,0.00014,POINT (-79.7789 36.07017),-79.7789,36.07017,0,0,0,4550
