origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-01-19,1705682197,Piedmont,72,-80.057216,35.898597,76.55,POINT (-80.057216 35.898597)
2024-01-19,1705668940,Carolinian,80,-80.056979,35.898937,73.85,POINT (-80.056979 35.898937)
2024-01-30,1706634092,Piedmont,73,-80.056773,35.899158,76.35,POINT (-80.056773 35.899158)
2024-01-23,1706061399,Piedmont,78,-80.05656,35.899375,78.04,POINT (-80.05656 35.899375)
2024-01-18,1705627195,Carolinian,79,-80.056514,35.899375,46.8,POINT (-80.056514 35.899375)
2024-01-29,1706571431,Piedmont,76,-80.055797,35.900348,76.44,POINT (-80.055797 35.900348)
2024-01-28,1706507768,Crescent,19,-80.055438,35.900779,48.95,POINT (-80.055438 35.900779)
2024-01-23,1706024997,Carolinian,80,-80.055309,35.900913,0.01,POINT (-80.055309 35.900913)
2024-01-23,1706024817,Carolinian,80,-80.055309,35.900916,0.01,POINT (-80.055309 35.900916)
2024-01-23,1706024653,Carolinian,80,-80.055331,35.900916,0.01,POINT (-80.055331 35.900916)
2024-01-27,1706402476,Carolinian,79,-80.055103,35.901161,46.72,POINT (-80.055103 35.901161)
2024-01-25,1706251072,Crescent,19,-80.054942,35.901321,41.18,POINT (-80.054942 35.901321)
2024-01-31,1706707561,Piedmont,71,-80.054744,35.901626,48.78,POINT (-80.054744 35.901626)
2024-01-23,1706025175,Carolinian,80,-80.054752,35.901714,5.76,POINT (-80.054752 35.901714)
2024-01-18,1705621321,Piedmont,76,-80.054446,35.902038,77.33,POINT (-80.054446 35.902038)
2024-01-23,1706024465,Carolinian,80,-80.054454,35.902057,0.0,POINT (-80.054454 35.902057)
2024-01-21,1705864003,Piedmont,72,-80.054424,35.902187,77.96,POINT (-80.054424 35.902187)
2023-12-26,1703642771,Carolinian,79,-80.054134,35.90258,14.74,POINT (-80.054134 35.90258)
2024-01-29,1706566624,Piedmont,77,-80.053889,35.902748,43.5,POINT (-80.053889 35.902748)
2024-01-20,1705789895,Piedmont,77,-80.054012,35.902786,78.85,POINT (-80.054012 35.902786)
2024-01-26,1706301397,Piedmont,74,-80.053981,35.902816,0.0,POINT (-80.053981 35.902816)
2024-01-24,1706144710,Carolinian,79,-80.053828,35.903049,80.4,POINT (-80.053828 35.903049)
2024-01-31,1706719923,Piedmont,72,-80.05331,35.903728,77.68,POINT (-80.05331 35.903728)
2024-01-23,1706056861,Carolinian,79,-80.053302,35.903728,45.5,POINT (-80.053302 35.903728)
2024-01-28,1706446569,Carolinian,80,-80.053333,35.90385,77.24,POINT (-80.053333 35.90385)
2024-01-25,1706227621,Piedmont,76,-80.045184,35.915779,50.26,POINT (-80.045184 35.915779)
2024-01-21,1705867581,Piedmont,75,-80.045177,35.915878,51.11,POINT (-80.045177 35.915878)
2024-01-27,1706360147,Carolinian,80,-80.045062,35.91608,77.9,POINT (-80.045062 35.91608)
2024-01-21,1705885017,Piedmont,77,-80.044887,35.916217,32.36,POINT (-80.044887 35.916217)
2023-12-26,1703657361,Crescent,19,-80.044696,35.916469,76.3,POINT (-80.044696 35.916469)
2024-01-19,1705684296,Piedmont,73,-80.044604,35.916599,77.22,POINT (-80.044604 35.916599)
2023-12-26,1703642606,Carolinian,79,-80.044658,35.916614,25.23,POINT (-80.044658 35.916614)
2024-01-24,1706140030,Piedmont,76,-80.044475,35.916847,55.73,POINT (-80.044475 35.916847)
2023-12-26,1703642504,Piedmont,78,-80.043842,35.917606,0.0,POINT (-80.043842 35.917606)
2024-01-30,1706665911,Piedmont,78,-80.043719,35.917827,79.62,POINT (-80.043719 35.917827)
2023-12-26,1703647284,Piedmont,78,-80.043506,35.918067,4.55,POINT (-80.043506 35.918067)
2024-01-25,1706231644,Carolinian,79,-80.043163,35.918483,49.31,POINT (-80.043163 35.918483)
2023-12-26,1703641877,Piedmont,78,-80.04288,35.918846,0.0,POINT (-80.04288 35.918846)
2024-01-22,1705971008,Carolinian,79,-80.042545,35.919383,75.89,POINT (-80.042545 35.919383)
2024-01-29,1706593987,Crescent,19,-80.042407,35.919547,76.83,POINT (-80.042407 35.919547)
2024-01-29,1706615233,Crescent,20,-80.041965,35.920162,69.08,POINT (-80.041965 35.920162)
2024-01-19,1705740058,Crescent,19,-80.041667,35.920501,57.03,POINT (-80.041667 35.920501)
2024-01-24,1706141469,Piedmont,74,-80.041476,35.920799,59.57,POINT (-80.041476 35.920799)
2024-01-24,1706161986,Crescent,19,-80.041011,35.921352,63.56,POINT (-80.041011 35.921352)
2024-01-18,1705617114,Piedmont,77,-80.04082,35.921516,75.2,POINT (-80.04082 35.921516)
2024-01-30,1706681470,Crescent,19,-80.040645,35.92181,75.02,POINT (-80.040645 35.92181)
2024-01-21,1705869128,Piedmont,74,-80.0405,35.921977,29.15,POINT (-80.0405 35.921977)
2024-01-25,1706269631,Crescent,20,-80.040347,35.922229,71.01,POINT (-80.040347 35.922229)
2024-01-22,1705989173,Crescent,19,-80.040088,35.922508,70.16,POINT (-80.040088 35.922508)
2024-01-24,1706147520,Piedmont,78,-80.039966,35.922706,77.93,POINT (-80.039966 35.922706)
2024-01-30,1706653013,Piedmont,77,-80.038852,35.924018,76.08,POINT (-80.038852 35.924018)
2024-01-26,1706273951,Carolinian,80,-80.038943,35.92406,80.63,POINT (-80.038943 35.92406)
2024-01-28,1706448064,Piedmont,71,-80.038562,35.924396,78.83,POINT (-80.038562 35.924396)
2024-01-26,1706336228,Crescent,19,-80.038371,35.924728,67.15,POINT (-80.038371 35.924728)
2024-01-22,1705942711,Piedmont,73,-80.038356,35.924746999999996,76.15,POINT (-80.038356 35.924746999999996)
2024-01-21,1705884420,Carolinian,79,-80.03815,35.925041,75.88,POINT (-80.03815 35.925041)
2024-01-31,1706706142,Carolinian,80,-80.037807,35.925487,77.09,POINT (-80.037807 35.925487)
2024-01-18,1705643572,Crescent,19,-80.037784,35.925491,76.3,POINT (-80.037784 35.925491)
2024-01-31,1706749161,Carolinian,79,-80.037349,35.926002,80.13,POINT (-80.037349 35.926002)
2023-12-26,1703647631,Piedmont,78,-80.037067,35.926368,8.83,POINT (-80.037067 35.926368)
2024-01-22,1705929989,Piedmont,71,-80.036945,35.926578,75.81,POINT (-80.036945 35.926578)
2024-02-12,1707804325,Crescent,19,-80.03577,35.928058,77.66,POINT (-80.03577 35.928058)
2024-01-22,1705928335,Carolinian,80,-80.035587,35.928378,78.62,POINT (-80.035587 35.928378)
2024-01-26,1706301999,Piedmont,74,-80.034579,35.929595,70.99,POINT (-80.034579 35.929595)
2024-01-28,1706480482,Piedmont,77,-80.033473,35.930957,79.49,POINT (-80.033473 35.930957)
2024-01-20,1705780902,Piedmont,75,-80.033252,35.931285,77.8,POINT (-80.033252 35.931285)
2024-01-30,1706621506,Piedmont,71,-80.033046,35.931446,76.55,POINT (-80.033046 35.931446)
2024-01-29,1706532974,Carolinian,80,-80.032947,35.931606,78.7,POINT (-80.032947 35.931606)
2024-01-26,1706320035,Carolinian,79,-80.031863,35.932838,78.76,POINT (-80.031863 35.932838)
2024-02-01,1706792166,Carolinian,80,-80.031413,35.933303,75.69,POINT (-80.031413 35.933303)
2024-01-21,1705857949,Piedmont,73,-80.03123,35.933498,77.14,POINT (-80.03123 35.933498)
2024-01-27,1706399180,Piedmont,76,-80.031032,35.933677,73.84,POINT (-80.031032 35.933677)
2024-01-31,1706739424,Piedmont,77,-80.030246,35.934608,76.35,POINT (-80.030246 35.934608)
2023-12-26,1703647913,Piedmont,78,-80.030147,35.934646,7.97,POINT (-80.030147 35.934646)
2024-02-13,1707829005,Carolinian,80,-80.029681,35.935268,72.06,POINT (-80.029681 35.935268)
2024-01-31,1706730983,Piedmont,75,-80.029414,35.935446999999996,78.4,POINT (-80.029414 35.935446999999996)
2024-01-30,1706619534,Carolinian,80,-80.029353,35.935581,73.73,POINT (-80.029353 35.935581)
2024-01-25,1706250907,Crescent,19,-80.02917,35.935764,75.9,POINT (-80.02917 35.935764)
2024-01-22,1705975294,Piedmont,78,-80.02901,35.935855,71.26,POINT (-80.02901 35.935855)
2024-01-28,1706507588,Crescent,19,-80.02859,35.936447,77.3,POINT (-80.02859 35.936447)
2024-01-19,1705713050,Carolinian,79,-80.027721,35.937309,72.42,POINT (-80.027721 35.937309)
2024-01-21,1705902773,Crescent,19,-80.027621,35.937511,73.57,POINT (-80.027621 35.937511)
2024-01-31,1706733685,Piedmont,74,-80.027454,35.937679,75.79,POINT (-80.027454 35.937679)
2024-01-23,1706053619,Piedmont,76,-80.027385,35.937759,72.28,POINT (-80.027385 35.937759)
2024-01-29,1706558532,Piedmont,75,-80.024844,35.940566,77.19,POINT (-80.024844 35.940566)
2024-01-26,1706308331,Piedmont,77,-80.024196,35.941146,63.08,POINT (-80.024196 35.941146)
2024-01-29,1706535081,Piedmont,71,-80.024135,35.941238,76.02,POINT (-80.024135 35.941238)
2024-01-24,1706183218,Crescent,20,-80.023601,35.941856,72.7,POINT (-80.023601 35.941856)
2024-01-27,1706423889,Crescent,19,-80.023204,35.942356,74.3,POINT (-80.023204 35.942356)
2024-01-23,1706056681,Carolinian,79,-80.022762,35.94279,67.42,POINT (-80.022762 35.94279)
2024-01-26,1706275897,Piedmont,71,-80.021899,35.943706,72.13,POINT (-80.021899 35.943706)
2024-01-23,1706047947,Piedmont,77,-80.021747,35.943916,63.27,POINT (-80.021747 35.943916)
2024-01-24,1706102472,Piedmont,71,-80.021297,35.944377,71.73,POINT (-80.021297 35.944377)
2024-01-23,1706040451,Piedmont,75,-80.020106,35.945766,60.11,POINT (-80.020106 35.945766)
2024-01-24,1706126272,Piedmont,75,-80.019031,35.946906,64.37,POINT (-80.019031 35.946906)
2024-01-20,1705805930,Carolinian,79,-80.018069,35.947963,57.9,POINT (-80.018069 35.947963)
2023-12-26,1703642427,Carolinian,79,-80.017909,35.948146,55.52,POINT (-80.017909 35.948146)
2024-01-24,1706144531,Carolinian,79,-80.017398,35.948738,55.91,POINT (-80.017398 35.948738)
2024-01-24,1706115355,Piedmont,73,-80.015742,35.950378,45.16,POINT (-80.015742 35.950378)
2024-01-27,1706406978,Piedmont,78,-80.01588,35.950385,65.48,POINT (-80.01588 35.950385)
2024-01-29,1706580670,Carolinian,79,-80.015285,35.950946,49.02,POINT (-80.015285 35.950946)
2024-01-21,1705842294,Carolinian,80,-80.015224,35.951145,57.97,POINT (-80.015224 35.951145)
2024-01-31,1706768048,Crescent,19,-80.014812,35.951557,61.25,POINT (-80.014812 35.951557)
2024-01-28,1706485630,Piedmont,76,-80.01459,35.951736,63.45,POINT (-80.01459 35.951736)
2024-01-20,1705770470,Piedmont,73,-80.014613,35.951759,50.34,POINT (-80.014613 35.951759)
2023-12-26,1703651220,Piedmont,78,-80.01443,35.951866,38.73,POINT (-80.01443 35.951866)
2024-01-31,1706720167,Piedmont,73,-80.014491,35.951877,45.53,POINT (-80.014491 35.951877)
2024-01-27,1706373492,Piedmont,72,-80.014507,35.951888,50.49,POINT (-80.014507 35.951888)
2024-01-19,1705696325,Piedmont,74,-80.014484,35.951896,57.74,POINT (-80.014484 35.951896)
2024-01-30,1706658004,Piedmont,76,-80.014445,35.951896,63.9,POINT (-80.014445 35.951896)
2024-01-24,1706141622,Piedmont,74,-80.014491,35.951927,32.65,POINT (-80.014491 35.951927)
2024-01-28,1706528817,Crescent,20,-80.014453,35.951927,64.23,POINT (-80.014453 35.951927)
2024-01-20,1705794120,Piedmont,76,-80.014392,35.951938,58.32,POINT (-80.014392 35.951938)
2024-01-25,1706227750,Piedmont,76,-80.014392,35.951946,61.07,POINT (-80.014392 35.951946)
2024-01-19,1705707443,Piedmont,76,-80.014346,35.951957,64.22,POINT (-80.014346 35.951957)
2024-01-21,1705880381,Piedmont,76,-80.014323,35.951988,63.49,POINT (-80.014323 35.951988)
2024-01-22,1705941641,Piedmont,72,-80.014331,35.951988,52.67,POINT (-80.014331 35.951988)
2024-01-27,1706399255,Piedmont,76,-80.014354,35.951988,60.1,POINT (-80.014354 35.951988)
2024-01-22,1705966953,Piedmont,76,-80.014346,35.952007,63.2,POINT (-80.014346 35.952007)
2024-01-19,1705669138,Carolinian,80,-80.014377,35.952018,60.66,POINT (-80.014377 35.952018)
2024-01-29,1706571593,Piedmont,76,-80.014323,35.952018,64.08,POINT (-80.014323 35.952018)
2024-01-28,1706446746,Carolinian,80,-80.014362,35.952037,61.62,POINT (-80.014362 35.952037)
2024-01-24,1706140129,Piedmont,76,-80.014346,35.952049,58.63,POINT (-80.014346 35.952049)
2024-01-26,1706312539,Piedmont,76,-80.014377,35.952056,63.34,POINT (-80.014377 35.952056)
2024-01-26,1706356011,Crescent,20,-80.014346,35.952056,59.22,POINT (-80.014346 35.952056)
2024-01-20,1705782715,Piedmont,74,-80.014346,35.952068,60.19,POINT (-80.014346 35.952068)
2024-01-23,1706053646,Piedmont,76,-80.01427,35.952129,62.96,POINT (-80.01427 35.952129)
2024-01-31,1706788032,Crescent,20,-80.014255,35.952136,57.11,POINT (-80.014255 35.952136)
2024-01-24,1706134378,Piedmont,77,-80.014171,35.952197,36.41,POINT (-80.014171 35.952197)
2024-01-25,1706220782,Piedmont,77,-80.01414,35.952228,38.29,POINT (-80.01414 35.952228)
2024-01-27,1706394730,Piedmont,77,-80.013683,35.952606,34.18,POINT (-80.013683 35.952606)
2024-01-01,1704196290,Crescent,20,-80.01366,35.952705,47.15,POINT (-80.01366 35.952705)
2024-01-30,1706701988,Crescent,20,-80.013515,35.952888,62.65,POINT (-80.013515 35.952888)
2024-01-20,1705837967,Crescent,20,-80.013347,35.952999,53.74,POINT (-80.013347 35.952999)
2024-01-01,1704174864,Crescent,19,-80.01324,35.953079,40.43,POINT (-80.01324 35.953079)
2024-01-20,1705757182,Piedmont,71,-80.011066,35.954639,61.57,POINT (-80.011066 35.954639)
2024-01-27,1706385725,Piedmont,75,-80.010524,35.955017,38.78,POINT (-80.010524 35.955017)
2024-01-21,1705924018,Crescent,20,-80.009563,35.955642,39.6,POINT (-80.009563 35.955642)
2024-01-29,1706547739,Piedmont,73,-80.009357,35.955768,26.35,POINT (-80.009357 35.955768)
2024-01-28,1706471947,Piedmont,75,-80.008792,35.956016,25.99,POINT (-80.008792 35.956016)
2024-01-18,1705608308,Piedmont,75,-80.008762,35.956027,21.74,POINT (-80.008762 35.956027)
2024-01-26,1706308143,Piedmont,77,-80.008754,35.956027,16.81,POINT (-80.008754 35.956027)
2024-01-18,1705601992,Piedmont,73,-80.0088,35.956039,35.59,POINT (-80.0088 35.956039)
2024-01-18,1705616945,Piedmont,77,-80.008723,35.956039,19.55,POINT (-80.008723 35.956039)
2024-01-22,1705953910,Piedmont,75,-80.008746,35.956046,15.62,POINT (-80.008746 35.956046)
2024-01-25,1706231466,Carolinian,79,-80.008746,35.956046,15.71,POINT (-80.008746 35.956046)
2024-01-25,1706220666,Piedmont,77,-80.008846,35.956058,23.54,POINT (-80.008846 35.956058)
2024-01-26,1706290694,Piedmont,73,-80.008922,35.956058,21.8,POINT (-80.008922 35.956058)
2024-01-19,1705694697,Piedmont,75,-80.008861,35.956058,35.26,POINT (-80.008861 35.956058)
2024-01-21,1705884770,Piedmont,77,-80.008777,35.956058,25.81,POINT (-80.008777 35.956058)
2024-01-29,1706593806,Crescent,19,-80.008884,35.956058,21.8,POINT (-80.008884 35.956058)
2024-01-30,1706633571,Piedmont,72,-80.008701,35.956058,12.86,POINT (-80.008701 35.956058)
2024-01-20,1705816371,Crescent,19,-80.00883,35.956058,25.02,POINT (-80.00883 35.956058)
2024-01-19,1705702443,Piedmont,77,-80.008746,35.956058,17.14,POINT (-80.008746 35.956058)
2024-01-24,1706126169,Piedmont,75,-80.008823,35.956066,21.41,POINT (-80.008823 35.956066)
2024-01-30,1706645664,Piedmont,75,-80.00883,35.956066,22.9,POINT (-80.00883 35.956066)
2024-01-23,1706040301,Piedmont,75,-80.008861,35.956066,19.77,POINT (-80.008861 35.956066)
2024-01-22,1705988993,Crescent,19,-80.00883,35.956066,27.42,POINT (-80.00883 35.956066)
2024-01-19,1705739877,Crescent,19,-80.00883,35.956077,23.87,POINT (-80.00883 35.956077)
2024-01-27,1706375288,Piedmont,73,-80.008861,35.956077,25.66,POINT (-80.008861 35.956077)
2024-01-25,1706201955,Piedmont,73,-80.00883,35.956077,20.04,POINT (-80.00883 35.956077)
2024-01-22,1705942561,Piedmont,73,-80.0088,35.956077,25.58,POINT (-80.0088 35.956077)
2024-01-30,1706633958,Piedmont,73,-80.008823,35.956077,23.82,POINT (-80.008823 35.956077)
2024-01-26,1706336047,Crescent,19,-80.008823,35.956077,25.9,POINT (-80.008823 35.956077)
2024-01-25,1706213109,Piedmont,75,-80.008884,35.956088,31.57,POINT (-80.008884 35.956088)
2024-01-21,1705867491,Piedmont,75,-80.008823,35.956088,21.34,POINT (-80.008823 35.956088)
2023-12-24,1703455941,Piedmont,77,-80.008731,35.956088,23.75,POINT (-80.008731 35.956088)
2024-01-20,1705780739,Piedmont,75,-80.0088,35.956088,21.5,POINT (-80.0088 35.956088)
2023-12-24,1703448553,Piedmont,75,-80.008754,35.956096,29.5,POINT (-80.008754 35.956096)
2024-01-31,1706739269,Piedmont,77,-80.008823,35.956096,22.09,POINT (-80.008823 35.956096)
