Station,Latitude,Longitude
Charlotte,35.241048,-80.822461
Kannaapolis,35.495498,-80.624706
Salisbury,35.666946,-80.466075
High Point,35.957496,-80.00619
Greensboro,36.068626,-79.786906
Burlington,36.094459,-79.435245
Durham,35.996978,-78.906314
Cary,35.788627,-78.781596
Raleigh,35.776546,-78.647631
Selma,35.532676,-78.279841
Wilson,35.723663,-77.907397
Rocky Mount,35.937999,-77.797167
