Speed_mph,Elevation_Smoothen_ft,Curve_Current_degrees,Curve_Max_Preceding_250ft_degrees,Curve_Max_Following_250ft_degrees,Elev_Delta_CUR_ft,Elev_Delta_PRE_ft,Elev_Delta_FOL_ft,Distance_to_Key_Nodes_FOL,Distance_to_Key_Nodes_PRE,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Intersection_dist,Station_dist,Node_ID,Cumulative_Length_ft
0.0,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.785586 36.06895799999999),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.0,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.78551 36.068965000000006),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.0,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.78548 36.06897699999999),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.01,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.785457 36.06897699999999),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.0,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.785594 36.06895799999999),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.0,836.6443286,0.13482,1.75178,0.00072,0.3405142999999953,0.6104428999999527,0.20141430000001037,400.0,650.0,1,0,0,POINT (-79.785609 36.068965000000006),-79.7857,36.06893,0,0,0,1650.0,400.0,40,715000
3.05,836.6443286,0.13482,1.75178,0.00072,0.3405142999999953,0.6104428999999527,0.20141430000001037,400.0,650.0,1,0,0,POINT (-79.785686 36.068965000000006),-79.7857,36.06893,0,0,0,1650.0,400.0,40,715000
0.02,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.78547199999998 36.068988000000004),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.06,836.4481571,1.75178,0.85498,0.13482,0.46289999999999054,0.6104428999999527,0.3405142999999953,450.0,600.0,1,0,0,POINT (-79.785525 36.068996),-79.7855,36.06895,0,0,0,1700.0,450.0,41,714950
0.0,836.1814286,0.0,1.274,1.75178,0.5978571000000557,0.6104428999999527,0.46289999999999054,500.0,550.0,1,0,0,POINT (-79.785396 36.069007),-79.7854,36.06898,0,0,0,1750.0,500.0,42,714900
