Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_500ft_ft,Elev_Delta_FOL_500_1kft_ft,Elev_Delta_FOL_1k_1k5ft_ft,Elev_Delta_FOL_1k5_2kft_ft,Elev_Delta_FOL_2k_2k5ft_ft,Elev_Delta_PRE_500ft_ft,Elev_Delta_PRE_500_1kft_ft,Elev_Delta_PRE_1k_1k5ft_ft,Elev_Delta_PRE_1k5_2kft_ft,Elev_Delta_PRE_2k_2k5ft_ft,Curve_CUR_degree,Curve_Max_FOL_500ft_degree,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Elev_Delta_FOL_500ft_ft,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Distance_to_Key_Nodes_FOL,Distance_to_Key_Nodes_PRE,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Intersection_dist,Station_dist,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch
47.05,530.5290857,-0.9817285999999967,-0.6750143000000435,-0.18611420000002,-0.8814714000000095,-0.620742899999982,-0.6783143000000109,-0.3635285999999951,-0.4208000000000993,-0.25634279999997034,0.1556286,4.288942899999938,0.00076,14.59428,12.82246,2.05012,1.16302,0.00104,19.26312,13.2766,8.6822,0.941,1.4162,-0.6750143000000435,12.82246,2.05012,1.16302,0.00104,19.26312,13.2766,8.6822,0.941,1.4162,7600,2350,0,1,0,POINT (-79.053149 36.035937999999994),-79.0531,36.0359,0,0,0,7600,62400,5903,295150,7600,0,0,2350,0,0
51.26,480.9200286,-1.0930429000000004,-0.5065143000000489,0.35565710000003037,0.7294713999999658,0.25605709999996407,-0.16472849999996697,-0.8809714999999869,-0.4312570999999821,-0.410585699999956,-0.5271999999999935,-0.5860713999999803,1.30096,9.60296,14.8648,11.39358,13.57834,6.92622,6.17422,4.6482,1.2506,0.8122,0.7414,-0.5065143000000489,14.8648,11.39358,13.57834,6.92622,6.17422,4.6482,1.2506,0.8122,0.7414,1550,5550,0,1,0,POINT (-78.97428400000001 36.026927),-78.9743,36.02688,0,0,0,1550,31050,6530,326500,1550,0,0,5550,0,0
52.71,477.5259143,-0.9718284999999582,0.2258572000000072,0.7294713999999658,0.4061999999999557,0.1768570999999497,-0.16752859999996872,-0.5065143000000489,-0.7847142999999619,-0.410585699999956,-0.4888000000000261,-0.5667285999999763,2.50116,14.8648,11.39358,13.57834,6.92622,0.00044,9.60296,6.17422,4.6482,1.2506,0.0006,0.2258572000000072,11.39358,13.57834,6.92622,0.00044,9.60296,6.17422,4.6482,1.2506,0.0006,1150,5950,0,1,0,POINT (-78.973246 36.02694699999999),-78.9732,36.02689,0,0,0,1150,30650,6538,326900,1150,0,0,5950,0,0
51.3,476.3576857,-1.2887857000000054,0.35565710000003037,0.7294713999999658,0.25605709999996407,-0.16472849999996697,-0.16752859999996872,-0.5065143000000489,-0.8809714999999869,-0.4312570999999821,-0.410585699999956,-0.5271999999999935,0.0,14.8648,11.39358,13.57834,6.92622,5.16008,9.60296,6.17422,4.6482,1.2506,0.8122,0.35565710000003037,11.39358,13.57834,6.92622,5.16008,9.60296,6.17422,4.6482,1.2506,0.8122,1050,6050,0,1,0,POINT (-78.972957 36.02698099999999),-78.9729,36.02691,0,0,0,1050,30550,6540,327000,1050,0,0,6050,0,0
55.23,420.0185857,-0.36110000000002174,-0.3066857000000027,-0.08331429999998363,6.935942900000043,7.346828600000038,-0.050399999999967804,-0.40461429999999154,-0.5041286000000014,-0.4013143000000241,2.5017286000000354,0.387228499999992,0.001,0.001,6.834,3.0698,11.2558,5.8212,0.6372,4.858,13.9544,9.2752,2.9938,-0.3066857000000027,6.834,3.0698,11.2558,5.8212,0.6372,4.858,13.9544,9.2752,2.9938,1350,2150,0,1,0,POINT (-78.953173 36.020396999999996),-78.9532,36.02037,0,0,0,1350,20750,6736,336800,1350,0,0,2150,0,0
51.96,421.4352857,-0.5632572000000096,-0.3066857000000027,-0.31681430000003274,-0.08331429999998363,7.346828600000038,4.745857200000046,-0.5041286000000014,-0.4013143000000241,0.0015857000000210064,2.5017286000000354,-0.8027858000000379,0.0006,0.6372,0.001,6.834,10.251,11.2558,0.001,5.3902,13.9544,9.2752,5.19,-0.3066857000000027,0.001,6.834,10.251,11.2558,0.001,5.3902,13.9544,9.2752,5.19,1650,1850,0,1,0,POINT (-78.953746 36.020797),-78.9538,36.02078,0,0,0,1650,21050,6730,336500,1650,0,0,1850,0,0
54.72,423.0333429,-0.5041286000000014,-0.4156285999999909,-0.3066857000000027,-0.10925709999997935,-0.08331429999998363,7.346828600000038,-0.5184285999999929,-0.4013143000000241,2.5017286000000354,-0.9686143000000129,-0.7498999999999683,0.0006,0.2664,0.6372,0.0012,6.834,11.2558,4.858,13.9544,9.2752,5.19,0.3678,-0.4156285999999909,0.6372,0.0012,6.834,11.2558,4.858,13.9544,9.2752,5.19,0.3678,1950,1550,0,1,0,POINT (-78.954524 36.021259),-78.9545,36.02119,0,0,0,1950,21350,6724,336200,1950,0,0,1550,0,0
51.6,424.8044,-0.8159856999999988,-0.5041286000000014,-0.3066857000000027,-0.31681430000003274,-0.08331429999998363,7.346828600000038,-0.4013143000000241,0.0015857000000210064,2.5017286000000354,-0.7705571000000191,-0.6970858000000248,4.858,0.001,0.6372,0.001,6.834,10.251,5.3902,13.9544,9.2752,5.19,0.3678,-0.5041286000000014,0.6372,0.001,6.834,10.251,5.3902,13.9544,9.2752,5.19,0.3678,2200,1300,0,1,0,POINT (-78.95501199999998 36.02157199999999),-78.955,36.02154,0,0,0,2200,21600,6719,335950,2200,0,0,1300,0,0
53.73,427.4559571,-0.49344279999996843,-0.4013143000000241,-0.5041286000000014,-0.3066857000000027,-0.31681430000003274,-0.08331429999998363,0.0015857000000210064,2.5017286000000354,-0.8027858000000379,-0.6970858000000248,-0.7504571000000055,0.0006,5.3902,0.001,0.6372,0.001,6.834,13.9544,9.2752,5.19,0.3678,2.0702,-0.4013143000000241,0.001,0.6372,0.001,6.834,13.9544,9.2752,5.19,0.3678,2.0702,2650,850,0,1,0,POINT (-78.955859 36.022228),-78.9559,36.02222,0,0,0,2650,22050,6710,335500,2650,0,0,850,0,0
52.36,429.1274286,-0.08809999999999718,0.0015857000000210064,-0.4013143000000241,-0.5041286000000014,-0.3066857000000027,-0.31681430000003274,2.5017286000000354,-0.7705571000000191,-0.6970858000000248,-0.7879143000000113,0.004642900000021655,0.0004,13.9544,5.3902,0.001,0.6372,0.001,9.2752,5.19,0.3678,2.0702,7.388,0.0015857000000210064,5.3902,0.001,0.6372,0.001,9.2752,5.19,0.3678,2.0702,7.388,3200,300,0,1,0,POINT (-78.956744 36.023208),-78.9568,36.0232,0,0,0,3200,22600,6699,334950,3200,0,0,300,0,0
