Node_ID,Cumulative_Length_ft,Elevation_Smoothen_ft,x_coordinate,y_coordinate,Curve_degree,Station,Intersection,Switch,Switch_if
101,5050,815.2900143,-79.7775,36.07039,0.79402,,,,0
102,5100,814.8084429,-79.7774,36.07041,2.86856,,,,0
103,5150,814.1879,-79.7773,36.07044,0.00056,,,,0
104,5200,813.4898143,-79.7771,36.07046,0.00056,,,,0
105,5250,812.9347714,-79.777,36.07049,0.00072,,,,0
106,5300,812.3218143,-79.7769,36.07051,0.0009,,,,0
107,5350,811.7347429,-79.7767,36.07054,0.0009,,,,0
108,5400,811.1276429,-79.7766,36.07056,0.00072,,,,0
109,5450,810.5349571,-79.7765,36.07059,0.00056,,,,0
110,5500,809.8897571,-79.7763,36.07061,0.00056,,,,0
111,5550,809.2577714,-79.7762,36.07064,0.00072,,,,0
112,5600,808.6705571,-79.7761,36.07066,0.0009,,,,0
113,5650,808.1002429,-79.7759,36.07069,0.0009,,,,0
114,5700,807.6714143,-79.7758,36.07071,0.00072,,,,0
115,5750,807.4519429,-79.7757,36.07074,0.00056,,,,0
116,5800,807.3537143,-79.7755,36.07076,3.71786,,,,0
117,5850,807.4191143,-79.7754,36.07079,0.83566,,,,0
118,5900,807.5913429,-79.7753,36.07081,0,,,,0
119,5950,807.7935857,-79.7751,36.07083,0,,,,0
120,6000,808.0687857,-79.775,36.07085,0.00014,,,,0
121,6050,808.3495429,-79.7749,36.07087,0.00014,,,,0
122,6100,808.5462286,-79.7747,36.07089,0.00074,,,,0
123,6150,808.7754714,-79.7746,36.07091,0.00074,,,,0
124,6200,808.9829857,-79.7745,36.07093,0,,,,0
125,6250,809.1836571,-79.7743,36.07095,0.00014,,,,0
126,6300,809.3737429,-79.7742,36.07097,0.00014,,,,0
127,6350,809.5657429,-79.774,36.07099,0,,,,0
128,6400,809.7255286,-79.7739,36.07101,0,,,,0
129,6450,809.8790429,-79.7738,36.07104,0.00014,,,,0
130,6500,809.9944,-79.7736,36.07106,0.00014,,,,0
131,6550,810.1028429,-79.7735,36.07108,0,,,,0
132,6600,810.2026143,-79.7734,36.0711,0,,,,0
133,6650,810.3077286,-79.7732,36.07112,0,,,,0
134,6700,810.4272,-79.7731,36.07114,0.0006,,,,0
135,6750,810.5382143,-79.773,36.07116,0.23638,,,,0
136,6800,810.6450286,-79.7728,36.07118,3.36596,,,,0
137,6850,810.7611571,-79.7727,36.07121,0.00072,,,,0
138,6900,810.8970286,-79.7726,36.07123,0,,,,0
139,6950,811.0254429,-79.7724,36.07125,0.00072,,,,0
140,7000,811.1754429,-79.7723,36.07128,0.00072,,,,0
141,7050,811.3310143,-79.7722,36.0713,0.00016,,,,0
142,7100,811.5052286,-79.772,36.07133,0.00016,,,,0
143,7150,811.7207143,-79.7719,36.07135,0.00072,,,,0
144,7200,811.9338429,-79.7718,36.07138,0.00072,,,,0
145,7250,812.1515,-79.7716,36.0714,0,,,,0
146,7300,812.3669429,-79.7715,36.07142,0.00072,,,,0
147,7350,812.5564714,-79.7714,36.07145,0.00072,,,,0
148,7400,812.7572,-79.7712,36.07147,0,,,,0
149,7450,812.9396857,-79.7711,36.0715,0.00072,,,,0
150,7500,812.0732286,-79.771,36.07152,0.00072,,,,0
151,7550,809.8880286,-79.7708,36.07155,0,,,,0
152,7600,809.8503429,-79.7707,36.07157,0.00072,,,,0
153,7650,809.946,-79.7706,36.07159,0.00072,,,,0
154,7700,810.0715857,-79.7704,36.07162,0,,,,0
155,7750,810.1663857,-79.7703,36.07164,0.00072,,,,0
156,7800,810.2456857,-79.7702,36.07167,2.89586,,,,0
157,7850,811.3209286,-79.77,36.07169,0.36108,,,,0
158,7900,813.6769286,-79.7699,36.07172,0.00056,,,,0
159,7950,813.8689429,-79.7698,36.07175,0.00018,,,,0
160,8000,813.9043571,-79.7696,36.07178,0.00074,,,,0
161,8050,813.9081143,-79.7695,36.0718,0.00074,,,,0
162,8100,813.9457429,-79.7694,36.07183,0,,,,0
163,8150,814.0379714,-79.7692,36.07186,0.00092,,,,0
164,8200,814.2018143,-79.7691,36.07189,0.00092,,,,0
165,8250,814.4483429,-79.769,36.07191,0.00074,,,,0
166,8300,814.7633429,-79.7688,36.07194,0.00074,,,,0
167,8350,815.0667143,-79.7687,36.07197,0,,,,0
168,8400,815.3366143,-79.7686,36.072,0.00074,,,,0
169,8450,815.5302143,-79.7684,36.07202,3.51426,,,,0
170,8500,815.6425714,-79.7683,36.07205,4.31376,,,,0
171,8550,815.6808,-79.7682,36.07209,0.00048,,,,0
172,8600,815.6136429,-79.768,36.07212,0,,,,0
173,8650,815.4150714,-79.7679,36.07216,0.00048,,,,0
174,8700,815.1987571,-79.7678,36.07219,0.00048,,,,0
175,8750,814.9909429,-79.7677,36.07223,0,,,,0
176,8800,814.7934286,-79.7675,36.07226,0.00048,,,,0
177,8850,814.5701429,-79.7674,36.0723,0.00048,,,,0
178,8900,814.2939143,-79.7673,36.07233,0,,,,0
179,8950,814.0102429,-79.7671,36.07236,0.00048,,,,0
180,9000,813.7279286,-79.767,36.0724,0.10224,,,,0
181,9050,811.2781571,-79.7669,36.07243,2.3938,,,,0
182,9100,808.2198429,-79.7668,36.07247,0.00096,,,,0
183,9150,805.1663429,-79.7666,36.07251,2.99618,,,,0
184,9200,802.6812857,-79.7665,36.07254,2.99496,,,,0
185,9250,802.6662714,-79.7664,36.07257,0.0005,,,,0
186,9300,802.7112143,-79.7662,36.0726,0.00022,,,,0
187,9350,802.8158286,-79.7661,36.07264,0.00022,,,,0
188,9400,805.1369286,-79.766,36.07267,0.00022,,,,0
189,9450,808.1093857,-79.7658,36.0727,0.00022,,,,0
190,9500,811.1097857,-79.7657,36.07273,0,,,,0
191,9550,813.5945429,-79.7656,36.07276,0.00022,,,,0
192,9600,813.7179714,-79.7654,36.07279,0.00022,,,,0
193,9650,813.8447571,-79.7653,36.07282,0.19712,,,,0
194,9700,813.9812714,-79.7652,36.07286,4.84452,,,,0
195,9750,814.1420857,-79.765,36.07289,0.00024,,,,0
196,9800,814.3055143,-79.7649,36.07293,0.00024,,,,0
197,9850,814.4807429,-79.7648,36.07296,0,,,,0
198,9900,814.6689,-79.7647,36.073,0.00024,,,,0
199,9950,814.86,-79.7645,36.07304,0.00024,,,,0
200,10000,815.1109714,-79.7644,36.07307,0.00024,,,,0
201,10050,815.1300714,-79.7643,36.07311,0.00024,,,,0
202,10100,815.2609571,-79.7641,36.07314,0.00024,,,,0
203,10150,815.3583286,-79.764,36.07318,0.00024,,,,0
204,10200,815.4094429,-79.7639,36.07322,0,,,,0
205,10250,815.4656571,-79.7638,36.07325,0.00024,,,,0
206,10300,815.4595714,-79.7636,36.07329,0.00024,,,,0
207,10350,815.3356,-79.7635,36.07332,0.00024,,,,0
208,10400,815.4287143,-79.7634,36.07336,0.00024,,,,0
209,10450,815.3453571,-79.7632,36.0734,0.00072,,,,0
210,10500,815.2344857,-79.7631,36.07343,0.00118,,,,0
211,10550,815.1038714,-79.763,36.07347,0.00118,,,,0
212,10600,814.8985857,-79.7628,36.0735,0.00118,,,,0
213,10650,814.6221857,-79.7627,36.07354,0.00118,,,,0
214,10700,814.3200286,-79.7626,36.07358,0.00072,,,,0
215,10750,813.9427286,-79.7625,36.07361,0.00024,,,,0
216,10800,813.5342571,-79.7623,36.07365,0.00024,,,,0
217,10850,813.0824714,-79.7622,36.07368,0.00024,,,,0
218,10900,812.6240857,-79.7621,36.07372,0.00024,,,,0
219,10950,812.1574857,-79.7619,36.07376,0.00024,,,,0
220,11000,811.6889429,-79.7618,36.07379,0.00024,,,,0
221,11050,811.2597571,-79.7617,36.07383,0,,,,0
222,11100,810.8098714,-79.7616,36.07386,0.00024,,,,0
223,11150,810.3634,-79.7614,36.0739,0.00024,,,,0
224,11200,809.9414,-79.7613,36.07394,0.00024,,,,0
225,11250,809.5035571,-79.7612,36.07397,0.00024,,,,0
226,11300,809.0941857,-79.761,36.07401,0,,,,0
227,11350,808.7193714,-79.7609,36.07404,0.00024,,,,0
228,11400,808.3591714,-79.7608,36.07408,0.00024,,,,0
229,11450,808.0795429,-79.7606,36.07412,0.00024,,,,0
230,11500,807.9170429,-79.7605,36.07415,0.00024,,,,0
231,11550,807.8137286,-79.7604,36.07419,0.00024,,,,0
232,11600,807.5721714,-79.7603,36.07422,0.00024,,,,0
233,11650,807.2449286,-79.7601,36.07426,2.0631,,,,0
234,11700,806.9432286,-79.76,36.07429,1.60864,,,,0
235,11750,806.5239,-79.7599,36.07433,0,,,,0
236,11800,806.1853571,-79.7597,36.07436,0.00022,,,,0
237,11850,805.9759714,-79.7596,36.07439,0.19876,,,,0
238,11900,805.7496,-79.7595,36.07443,1.61816,,,,0
239,11950,805.5816286,-79.7593,36.07446,0.83378,,,,0
240,12000,805.5454,-79.7592,36.07449,0.0002,,,,0
241,12050,805.5480286,-79.7591,36.07452,0.0002,,,,0
242,12100,805.6935,-79.759,36.07455,0,,,,0
243,12150,805.7405,-79.7588,36.07458,0,,,,0
244,12200,805.5881286,-79.7587,36.07461,0.00052,,,,0
245,12250,805.4609,-79.7586,36.07464,0.00052,,,,0
246,12300,805.4735429,-79.7584,36.07467,0,,,,0
247,12350,805.4835714,-79.7583,36.0747,0,,,,0
248,12400,805.4927857,-79.7582,36.07473,0,,,,0
249,12450,805.5951857,-79.758,36.07476,0.00052,,,,0
250,12500,805.5681143,-79.7579,36.07479,0.00052,,,,0
251,12550,805.4631286,-79.7578,36.07482,0,,,,0
252,12600,805.3693,-79.7576,36.07485,0,,,,0
253,12650,805.3517857,-79.7575,36.07488,4.54114,,,,0
254,12700,805.3608429,-79.7574,36.07492,2.80798,,,,0
255,12750,805.2519286,-79.7572,36.07496,0,,,,0
256,12800,804.9924571,-79.7571,36.07499,0.00026,,,,0
257,12850,804.8366143,-79.757,36.07503,0.00096,,,,0
258,12900,804.7158714,-79.7569,36.07507,0.0007,,,,0
259,12950,804.5559714,-79.7567,36.07511,0,,,,0
260,13000,804.4523429,-79.7566,36.07514,0,,,,0
261,13050,804.3608857,-79.7565,36.07518,6.01392,,,,0
262,13100,804.3862429,-79.7563,36.07522,4.13816,,,,0
263,13150,804.4419857,-79.7562,36.07527,0.00038,,,,0
264,13200,804.5491429,-79.7561,36.07532,0.00038,,,,0
265,13250,804.6588571,-79.756,36.07536,0,,,,0
266,13300,804.6819571,-79.7558,36.07541,0,,,,0
267,13350,804.6194429,-79.7557,36.07545,0.00038,,,,0
