OBJECTID,ORIG_FID,ORIG_LEN,ORIG_SEQ,RASTERVALU,x_coordinate,y_coordinate
6578,1,115580.3912,7585,397.9766541,-78.86072726,35.96793658
6579,1,115595.6312,7586,398.1333618,-78.86064883,35.96784576
6580,1,115610.8712,7587,398.3234863,-78.8605704,35.96775495
6581,1,115626.1113,7588,398.5929565,-78.86049197,35.96766413
6582,1,115641.3513,7589,398.9194641,-78.86041367,35.96757324
6583,1,115656.5913,7590,399.424408,-78.86033784,35.96748098
6584,1,115671.8313,7591,399.8869324,-78.86026202,35.96738873
6585,1,115687.0714,7592,400.20755,-78.86018619,35.96729647
6586,1,115702.3114,7593,400.46698,-78.86011037,35.96720422
6587,1,115717.5514,7594,400.8152771,-78.86003454,35.96711196
6588,1,115732.7915,7595,401.0253906,-78.85995871,35.96701971
6589,1,115748.0315,7596,401.3524475,-78.85988295,35.96692742
6590,1,115763.2715,7597,401.5561218,-78.8598075,35.96683496
6591,1,115778.5116,7598,401.627655,-78.85973205,35.9667425
6592,1,115793.7516,7599,401.9700928,-78.85965659,35.96665005
6593,1,115808.9916,7600,402.1541138,-78.85958114,35.96655759
6594,1,115824.2316,7601,402.4562988,-78.85950569,35.96646514
6595,1,115839.4717,7602,402.7829285,-78.85943023,35.96637268
6596,1,115854.7117,7603,403.1056519,-78.85935478,35.96628022
6597,1,115869.9517,7604,403.4313049,-78.85927932,35.96618777
6598,1,115885.1918,7605,403.7320862,-78.85920204,35.9660963
6599,1,115900.4318,7606,403.83078,-78.85912477,35.96600484
6600,1,115915.6718,7607,403.9926758,-78.8590475,35.96591337
6601,1,115930.9119,7608,404.0448303,-78.85897022,35.9658219
6602,1,115946.1519,7609,404.1021729,-78.85889295,35.96573044
6603,1,115961.3919,7610,404.007843,-78.85881568,35.96563897
6604,1,115976.632,7611,404.087677,-78.8587384,35.9655475
6605,1,115991.872,7612,404.0767822,-78.85866113,35.96545603
6606,1,116007.112,7613,404.0078735,-78.85858386,35.96536457
6607,1,116022.352,7614,404.103363,-78.85850658,35.9652731
6608,1,116037.5921,7615,404.0855408,-78.85842931,35.96518163
6609,1,116052.8321,7616,403.9828796,-78.85835204,35.96509016
6610,1,116068.0721,7617,404.0215454,-78.85827476,35.9649987
6611,1,116083.3122,7618,403.9594116,-78.85819833,35.96490677
6612,1,116098.5522,7619,404.2178345,-78.85812339,35.96481404
6613,1,116113.7922,7620,404.2945557,-78.85804844,35.96472131
6614,1,116129.0323,7621,404.387207,-78.8579735,35.96462858
6615,1,116144.2723,7622,404.8280945,-78.85789856,35.96453585
6616,1,116159.5123,7623,404.8174438,-78.85782361,35.96444312
6617,1,116174.7523,7624,404.9750061,-78.85774867,35.96435039
