origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-01-30,1706651232,Piedmont,77,-79.648402,36.109268,74.88,POINT (-8866419.553137954 4315666.915264619)
2024-01-22,1705968308,Carolinian,79,-79.645175,36.109355,22.95,POINT (-8866060.325141162 4315678.902968786)
2024-01-27,1706383921,Piedmont,75,-79.64561,36.109378,71.31,POINT (-8866108.749119658 4315682.072134175)
2024-01-21,1705882260,Carolinian,79,-79.644534,36.109382,73.35,POINT (-8865988.969347563 4315682.623293469)
2024-01-24,1706124103,Piedmont,75,-79.55228,36.109367,57.26,POINT (-8855719.30104392 4315680.5564462645)
2024-01-29,1706578151,Carolinian,79,-79.462626,36.1095,64.92,POINT (-8845739.063416341 4315698.882505237)
2024-01-29,1706578509,Carolinian,79,-79.553538,36.109844,68.78,POINT (-8855859.34096334 4315746.282380645)
2024-01-25,1706199698,Piedmont,73,-79.554256,36.110168,67.75,POINT (-8855939.268357728 4315790.926639187)
2024-01-27,1706391693,Piedmont,77,-79.480311,36.110198,47.78,POINT (-8847707.74861102 4315795.060376145)
2024-01-20,1705803784,Carolinian,79,-79.626315,36.109619,40.55,POINT (-8863960.839544801 4315715.279531674)
2024-01-19,1705692409,Piedmont,75,-79.625606,36.109909,60.74,POINT (-8863881.914025828 4315755.238775771)
2024-01-29,1706533264,Piedmont,71,-79.624591,36.110336,64.24,POINT (-8863768.924742673 4315814.075586491)
2024-01-25,1706218903,Piedmont,77,-79.624072,36.110527,61.33,POINT (-8863711.149926953 4315840.39379506)
2024-01-25,1706199418,Piedmont,73,-79.464549,36.110446,62.34,POINT (-8845953.130797137 4315829.232662144)
2024-01-18,1705615020,Piedmont,77,-79.555324,36.110458,67.11,POINT (-8856058.157573896 4315830.886162592)
2024-01-18,1705614725,Piedmont,77,-79.464602,36.110458,66.93,POINT (-8845959.030730149 4315830.886162592)
2024-01-19,1705669285,Piedmont,71,-79.556331,36.110656,65.72,POINT (-8856170.256301124 4315858.168956431)
2024-01-27,1706392009,Piedmont,77,-79.55704,36.110786,68.65,POINT (-8856249.181820096 4315876.081939284)
2024-01-23,1706013981,Piedmont,71,-79.478923,36.110965,69.14,POINT (-8847553.2371578 4315900.7467872705)
2024-01-22,1705951585,Piedmont,75,-79.478709,36.111076,67.88,POINT (-8847529.41478677 4315916.041777108)
2024-01-31,1706746815,Carolinian,79,-79.559276,36.111171,69.36,POINT (-8856498.09220151 4315929.132100893)
2024-01-20,1705803245,Carolinian,79,-79.466212,36.11119,61.53,POINT (-8846138.255110325 4315931.7501675505)
2024-01-23,1706045781,Piedmont,77,-79.559489,36.111206,67.82,POINT (-8856521.80325305 4315933.954855753)
2024-01-30,1706650606,Piedmont,77,-79.47832,36.111248,49.09,POINT (-8847486.11150485 4315939.742164422)
2024-01-30,1706619092,Piedmont,71,-79.466296,36.111248,61.12,POINT (-8846147.605947552 4315939.742164422)
2024-01-24,1706112983,Piedmont,73,-79.47816,36.111248,67.56,POINT (-8847468.300386325 4315939.742164422)
2024-01-24,1706113597,Piedmont,73,-79.622569,36.111118,59.66,POINT (-8863543.836732289 4315921.829076197)
2024-01-22,1705968130,Carolinian,79,-79.622439,36.111209,42.52,POINT (-8863529.365198486 4315934.368234842)
2024-01-26,1706298400,Piedmont,75,-79.621226,36.111717,65.25,POINT (-8863394.334656153 4316004.367321451)
