OBJECTID,x_coordinate,y_coordinate,Direction,Arc_Angle,Arc_Temp,Arc_straddle,Arc_Angle_All
97,-78.2868,35.53619,304.1701,0,good,360,0
98,-78.2869,35.53626,304.1701,0,good,360,0
99,-78.287,35.53632,304.1701,0,good,360,0
100,-78.2871,35.53638,304.1701,0,good,360,0
101,-78.2873,35.53644,304.1701,0,good,360,0
102,-78.2874,35.53651,304.1701,0,good,360,0
103,-78.2875,35.53657,304.1701,0,good,360,0
104,-78.2876,35.53663,304.1701,0,good,360,0
105,-78.2877,35.53669,304.1701,0,good,360,0
106,-78.2878,35.53676,304.1704,0.0006,good,359.9994,0.0006
107,-78.2879,35.53682,304.17,0.0007999999999,good,359.9992,0.0007999999999
108,-78.288,35.53688,304.1704,0.0007999999999,good,359.9992,0.0007999999999
109,-78.2882,35.53694,304.1701,0.0006,good,359.9994,0.0006
110,-78.2883,35.53701,304.1701,0,good,360,0
111,-78.2884,35.53707,304.1704,0.0006,good,359.9994,0.0006
112,-78.2885,35.53713,304.1703,0.0001999999999,good,359.9998,0.0001999999999
113,-78.2886,35.53719,304.1704,0.0001999999999,good,359.9998,0.0001999999999
114,-78.2887,35.53726,304.1703,0.0001999999999,good,359.9998,0.0001999999999
115,-78.2888,35.53732,304.1704,0.0001999999999,good,359.9998,0.0001999999999
116,-78.289,35.53738,304.1707,0.0006000000001,good,359.9994,0.0006000000001
117,-78.2891,35.53744,304.1701,0.0012,good,359.9988,0.0012
118,-78.2892,35.53751,304.1707,0.0012,good,359.9988,0.0012
119,-78.2893,35.53757,304.1704,0.0006000000001,good,359.9994,0.0006000000001
120,-78.2894,35.53763,304.1707,0.0006000000001,good,359.9994,0.0006000000001
121,-78.2895,35.53769,304.1707,0,good,360,0
122,-78.2896,35.53776,304.1707,0,good,360,0
123,-78.2897,35.53782,304.1704,0.0006000000001,good,359.9994,0.0006000000001
124,-78.2899,35.53788,304.1703,0.0001999999999,good,359.9998,0.0001999999999
125,-78.29,35.53795,304.1707,0.0008,good,359.9992,0.0008
126,-78.2901,35.53801,304.1704,0.0006000000001,good,359.9994,0.0006000000001
127,-78.2902,35.53807,304.1707,0.0006000000001,good,359.9994,0.0006000000001
128,-78.2903,35.53813,304.171,0.0006,good,359.9994,0.0006
129,-78.2904,35.5382,304.1707,0.0006,good,359.9994,0.0006
130,-78.2905,35.53826,304.171,0.0006,good,359.9994,0.0006
131,-78.2907,35.53832,304.1709,0.0001999999999,good,359.9998,0.0001999999999
132,-78.2908,35.53838,304.171,0.0001999999999,good,359.9998,0.0001999999999
133,-78.2909,35.53845,304.171,0,good,360,0
134,-78.291,35.53851,304.1707,0.0006,good,359.9994,0.0006
135,-78.2911,35.53857,304.171,0.0006,good,359.9994,0.0006
136,-78.2912,35.53863,304.1707,0.0006,good,359.9994,0.0006
137,-78.2913,35.5387,304.171,0.0006,good,359.9994,0.0006
138,-78.2914,35.53876,304.1712,0.0004,good,359.9996,0.0004
139,-78.2916,35.53882,304.171,0.0004,good,359.9996,0.0004
140,-78.2917,35.53888,304.171,0,good,360,0
141,-78.2918,35.53895,304.1712,0.0004,good,359.9996,0.0004
142,-78.2919,35.53901,304.171,0.0004,good,359.9996,0.0004
143,-78.292,35.53907,304.171,0,good,360,0
144,-78.2921,35.53913,304.1709,0.0001999999999,good,359.9998,0.0001999999999
145,-78.2922,35.5392,304.171,0.0001999999999,good,359.9998,0.0001999999999
146,-78.2924,35.53926,304.171,0,good,360,0
147,-78.2925,35.53932,304.1712,0.0004,good,359.9996,0.0004
148,-78.2926,35.53938,304.171,0.0004,good,359.9996,0.0004
149,-78.2927,35.53945,304.1712,0.0004,good,359.9996,0.0004
150,-78.2928,35.53951,304.171,0.0004,good,359.9996,0.0004
151,-78.2929,35.53957,304.171,0,good,360,0
152,-78.293,35.53963,304.1712,0.0004,good,359.9996,0.0004
153,-78.2931,35.5397,304.1707,0.001,good,359.999,0.001
154,-78.2933,35.53976,304.171,0.0006,good,359.9994,0.0006
155,-78.2934,35.53982,304.1715,0.001,good,359.999,0.001
156,-78.2935,35.53988,304.1712,0.0006,good,359.9994,0.0006
157,-78.2936,35.53995,304.1715,0.0006,good,359.9994,0.0006
158,-78.2937,35.54001,304.171,0.001,good,359.999,0.001
159,-78.2938,35.54007,304.1715,0.001,good,359.999,0.001
160,-78.2939,35.54013,304.1712,0.0006,good,359.9994,0.0006
161,-78.2941,35.5402,304.1715,0.0006,good,359.9994,0.0006
162,-78.2942,35.54026,304.165,0.013,good,359.987,0.013
163,-78.2943,35.54032,304.1266,0.0768,good,359.9232,0.0768
164,-78.2944,35.54038,304.1266,0,good,360,0
165,-78.2945,35.54045,304.1266,0,good,360,0
166,-78.2946,35.54051,304.1266,0,good,360,0
167,-78.2947,35.54057,304.1266,0,good,360,0
168,-78.2948,35.54063,304.1266,0,good,360,0
169,-78.295,35.5407,304.1266,0,good,360,0
170,-78.2951,35.54076,304.1266,0,good,360,0
171,-78.2952,35.54082,304.1266,0,good,360,0
172,-78.2953,35.54088,304.1266,0,good,360,0
173,-78.2954,35.54095,304.1266,0,good,360,0
174,-78.2955,35.54101,304.1263,0.0006,good,359.9994,0.0006
175,-78.2956,35.54107,304.1266,0.0006,good,359.9994,0.0006
176,-78.2958,35.54113,304.1266,0,good,360,0
177,-78.2959,35.5412,304.1266,0,good,360,0
178,-78.296,35.54126,304.1266,0,good,360,0
179,-78.2961,35.54132,304.1266,0,good,360,0
180,-78.2962,35.54138,304.1266,0,good,360,0
181,-78.2963,35.54145,304.1266,0,good,360,0
182,-78.2964,35.54151,304.1266,0,good,360,0
183,-78.2965,35.54157,304.1266,0,good,360,0
184,-78.2967,35.54163,304.1266,0,good,360,0
185,-78.2968,35.5417,304.1266,0,good,360,0
186,-78.2969,35.54176,304.1266,0,good,360,0
187,-78.297,35.54182,304.1266,0,good,360,0
