Route,Type, Operating Revenue, Operating Expense, Adjusted Operating Earnings, Ridership (in Thousands), eCSI, Average Load Factor, OTP
Acela,NEC,504.8,248.8,256.0,"2,696.1",84.2,63%,85.5%
Regional,NEC,531.3,354.4,176.8,"6,609.8",86.1,56%,84.4%
NEC Special Trains & Adjustments,NEC,4.2,7.9,(3.7),6.8,,,
NEC,NEC,"1,040.3",611.1,429.2,"9,312.7",85.6,58%,84.8%
Ethan Allen Express,State Supported,4.0,4.3,(0.3),34.9,91.9,41%,75.2%
Vermonter,State Supported,8.5,8.1,0.5,71.9,89.0,48%,87.5%
Maple Leaf,State Supported,24.1,26.6,(2.4),277.5,93.1,41%,58.0%
The Downeaster,State Supported,11.9,13.3,(1.4),393.3,94.1,30%,56.5%
New Haven - Springfield,State Supported,16.8,18.9,(2.2),267.1,89.3,0.0%,83.6%
Keystone Service,State Supported,39.3,42.2,(2.9),"1,188.2",92.0,40%,80.1%
Empire Service,State Supported,38.4,48.7,(10.3),899.8,89.4,50%,71.7%
Chicago-St.Louis,State Supported,24.3,24.3,(0.0),461.8,91.2,49%,85.7%
Hiawathas,State Supported,16.2,17.3,(1.1),642.8,91.5,40%,70.3%
Wolverines,State Supported,23.2,25.1,(1.8),364.8,87.6,59%,89.6%
Illini,State Supported,12.8,12.3,0.5,198.9,89.4,43%,67.2%
Illinois Zephyr,State Supported,11.1,11.4,(0.4),142.4,93.7,38%,48.9%
Heartland Flyer,State Supported,4.8,4.9,(0.1),50.1,93.7,45%,93.3%
Pacific Surfliner,State Supported,87.3,102.9,(15.6),"1,983.5",88.0,29%,77.2%
Cascades,State Supported,46.5,52.2,(5.7),582.4,89.8,56%,60.5%
Capitols,State Supported,47.3,55.0,(7.7),"1,326.3",91.3,31%,79.0%
San Joaquins,State Supported,64.0,73.8,(9.8),802.7,89.4,29%,26.2%
Adirondack,State Supported,9.5,10.1,(0.6),79.3,85.4,49%,69.5%
Blue Water,State Supported,8.6,9.2,(0.5),131.7,91.4,43%,92.4%
Washington-Lynchburg,State Supported,11.0,8.0,3.0,162.9,90.7,0%,45.3%
Washington - Newport News,State Supported,18.1,14.4,3.7,245.2,90.1,0%,50.1%
Washington - Norfolk,State Supported,10.8,9.4,1.3,150.6,92.5,0%,68.9%
Washington - Richmond,State Supported,7.1,6.1,1.0,100.2,92.0,0%,39.1%
Hoosier State,State Supported,2.9,4.1,(1.2),20.9,92.0,43%,76.7%
Kansas City-St.Louis,State Supported,10.2,10.2,(0.0),110.6,92.2,48%,69.5%
Pennsylvanian,State Supported,11.0,12.9,(1.9),156.9,90.8,52%,66.4%
Pere Marquette,State Supported,4.3,4.5,(0.2),70.1,94.2,50%,68.8%
Carolinian,State Supported,17.0,14.4,2.7,193.4,90.2,48%,59.3%
Piedmont,State Supported,6.4,7.2,(0.8),162.6,95.7,40%,84.1%
Non Nec Special Trains & Adjustments,State Supported,2.4,5.2,(2.8),21.7,,,
State Supported,State Supported,599.9,657.1,(57.1),"11,294.3",90.6,40%,75.2%
Silver Star,Long Distance,27.0,49.2,(22.2),296.0,82.5,60%,55.1%
Cardinal,Long Distance,6.1,18.0,(11.9),80.0,83.1,54%,67.3%
Silver Meteor,Long Distance,31.3,58.7,(27.4),262.0,81.9,65%,47.9%
Empire Builder,Long Distance,36.5,81.1,(44.5),298.2,85.3,51%,27.6%
Capitol Limited,Long Distance,14.2,33.4,(19.2),148.4,79.8,66%,49.2%
California Zephyr,Long Distance,37.9,83.0,(45.1),299.1,85.9,54%,45.1%
Southwest Chief,Long Distance,32.9,77.5,(44.6),240.2,83.9,65%,65.8%
City of New Orleans,Long Distance,13.4,31.2,(17.7),177.5,83.9,53%,46.2%
Texas Eagle,Long Distance,18.4,41.8,(23.4),237.1,83.5,54%,29.7%
Sunset Limited,Long Distance,9.1,33.5,(24.4),70.4,84.7,49%,36.1%
Coast Starlight,Long Distance,32.8,67.3,(34.6),307.9,83.4,58%,21.5%
Lake Shore Limited,Long Distance,21.2,47.2,(26.0),255.0,81.7,53%,25.4%
Palmetto,Long Distance,20.9,26.6,(5.7),256.0,80.3,44%,0.0%
Crescent,Long Distance,24.6,52.7,(28.1),217.4,78.6,51%,0.0%
Auto Train,Long Distance,61.0,65.7,(4.6),179.0,87.5,62%,0.0%
Long Distance Adjustments,Long Distance,(0.0),1.0,(1.0),,,,
Long Distance,Long Distance,387.5,767.8,(380.3),"3,324.1",83.1,56%,43.9%
Ancillary,Amtrak,259.3,211.5,47.7,,,,
Infrastructure,Amtrak,185.1,268.7,(83.6),,,,
Amtrak,Amtrak,"2,472.0","2,516.1",(44.1),"23,931.1",87.4,51%,74.7%
