($s in Millions),Type,"Operating
Revenue","Frequency
Variable Costs","Route Variable
Costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings",Gross Ticket,Ridership,Seat Miles,Miles,Train Miles,Frequencies
Acela.,NEC,129.9,24.9,50.6,16.0,91.5,38.4,129.8,727.9,212.7,141.8,0.7,"1,814.0"
Regional,NEC,214.1,49.1,76.9,36.6,162.6,51.5,210.1,"2,183.3",613.1,399.3,1.3,"3,375.2"
NEC Special Trains & Adjustments,NEC,1.9,0.2,0.6,3.2,3.9,(2.1),0.8,0.0,2.4,0.0,0.0,112.0
NEC,NEC,345.9,74.1,128.2,55.8,258.1,87.8,340.7,"2,911.2",828.2,541.1,2.0,"5,301.2"
Ethan Allen Express,State Supported,1.6,1.1,0.5,0.3,1.9,(0.3),0.7,23.6,10.5,2.2,0.0,99.2
Vermonter,State Supported,2.5,1.4,1.0,0.4,2.8,(0.2),1.1,30.3,12.8,3.3,0.0,68.6
Maple Leaf,State Supported,9.2,5.5,3.5,1.1,10.0,(0.8),5.0,106.2,59.7,20.1,0.2,376.3
The Downeaster,State Supported,4.1,2.7,1.7,0.8,5.2,(1.1),2.7,131.1,38.6,11.4,0.1,899.0
Berkshire Flyer,State Supported,0.0,0.0,0.0,0.0,0.0,(0.0),-,0.0,0.0,0.0,0.0,0.0
New Haven - Springfield,State Supported,5.4,3.5,4.4,1.5,9.4,(3.9),2.3,114.0,23.1,6.4,0.1,"1,493.3"
Keystone Service,State Supported,7.8,4.2,16.5,4.3,25.0,(17.2),6.9,282.3,75.2,18.2,0.2,"1,278.8"
Empire Service,State Supported,15.0,6.8,9.3,3.2,19.3,(4.3),20.3,313.0,76.4,49.6,0.2,"1,199.7"
