($s in Millions),Type,Operating,Frequency,Route Variable,System/Fixed,Operating,"Adjusted
Operating",Gross Ticket,Ridership,Seat Miles,Passenger Miles,Train Miles,
Empire Builder,Long Distance,17.0,30.7,10.4,6.5,47.6,(30.6),16.8,122.5,184.8,77.6,0.7,528.0
Capitol Limited,Long Distance,7.1,8.3,5.8,3.7,17.7,(10.6),7.4,58.0,39.9,24.2,0.2,282.0
California Zephyr,Long Distance,21.0,31.6,12.9,10.4,54.9,(34.0),20.3,137.8,159.6,80.8,0.7,339.0
Southwest Chief,Long Distance,15.4,27.8,14.9,6.7,49.4,(34.0),15.4,93.3,136.2,80.4,0.7,297.0
City of New Orleans,Long Distance,7.2,10.5,5.6,2.9,18.9,(11.8),6.9,86.2,71.9,34.0,0.3,296.0
Texas Eagle,Long Distance,10.3,15.2,7.0,3.2,25.5,(15.2),9.8,119.1,75.7,55.0,0.4,302.0
Sunset Limited,Long Distance,5.1,13.2,6.4,3.1,22.7,(17.5),4.7,34.6,65.3,25.9,0.3,128.0
Coast Starlight,Long Distance,16.9,21.5,10.3,5.6,37.5,(20.6),16.2,143.5,98.7,59.6,0.4,293.0
Lake Shore Limited,Long Distance,12.4,14.7,11.1,4.5,30.4,(18.0),12.4,136.4,93.7,54.9,0.3,564.0
Palmetto,Long Distance,10.3,7.5,6.7,2.6,16.9,(6.6),9.9,112.9,64.9,29.1,0.2,302.0
Crescent,Long Distance,14.3,14.6,13.2,4.5,32.2,(18.0),14.0,105.9,96.4,44.4,0.4,302.0
Auto Train,Long Distance,51.2,23.6,15.9,5.3,44.7,6.5,52.8,116.2,154.4,74.3,0.2,288.0
Long Distance Adjustments,Long Distance,0.0,0.1,1.2,0.5,1.8,(1.8),N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,221.7,259.2,149.2,70.6,479.0,(257.3),219.6,"1,537.4","1,465.4",768.2,5.8,"4,614.0"
Ancillary,Amtrak,168.3,28.1,92.1,42.6,162.8,5.5,,,,,,
Infrastructure,Amtrak,110.1,28.8,108.9,28.1,165.8,(55.6),,,,,,
Amtrak,Amtrak,"1,311.8",629.7,715.0,302.8,"1,647.5",(335.6),878.7,"10,668.1","4,520.1","2,166.2",14.6,"40,913.0"
