Route,Type,"Operating
Revenue","Frequency
Variable Costs","Route
Variable costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Cardinal,Long Distance,1.5,2.5,0.7,1,4.1,-2.6,1.5,15.1,8.7,5.4,0.1,52
Silver Meteor,Long Distance,4.6,4.4,3.7,1.3,9.5,-4.9,4.5,33.4,28.7,17.7,0.1,89
Empire Builder,Long Distance,9,12.7,3.5,2.7,18.9,-10,8.6,55.7,78.4,38.2,0.3,232
Capitol Limited,Long Distance,3.6,3.4,2.4,1.5,7.4,-3.7,3.7,29.1,20.3,12.2,0.1,120
California Zephyr,Long Distance,8.9,12.5,4.4,3.5,20.4,-11.4,8.6,51.8,59.2,35.8,0.3,122
Southwest Chief,Long Distance,7.1,11.3,5.8,2.7,19.8,-12.7,7,41.6,53,35.6,0.3,122
City of New Orleans,Long Distance,3,4.1,2.3,1.1,7.6,-4.6,2.9,38,29.3,14.3,0.1,118
Texas Eagle,Long Distance,4.7,6.4,2.7,1.3,10.5,-5.8,4.1,51.2,31.2,23.4,0.2,122
Sunset Limited,Long Distance,2.2,5.5,2.4,1.2,9.1,-6.9,2,14.6,26.5,10.9,0.1,52
Coast Starlight,Long Distance,8.4,9.4,4.4,2.5,16.3,-7.9,8,70,48.1,29.2,0.2,122
Lake Shore Limited,Long Distance,6.1,6,4.5,1.8,12.3,-6.2,5.9,66.2,43.7,25.9,0.1,230
Palmetto,Long Distance,4.8,3,2.6,1.1,6.8,-2,4.6,52.2,29.6,12.8,0.1,122
Crescent,Long Distance,6.3,5.8,5.4,2,13.1,-6.8,6.2,46.1,40,20,0.2,122
Auto Train,Long Distance,19.4,9.5,6.1,2.2,17.8,1.5,19.9,44.7,60.5,20.9,0.1,116
Long Distance Adjustments,Long Distance,0,0,0.4,0.3,0.7,-0.7,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,96,104.6,56.9,28.3,189.9,-93.8,93.9,665.7,601.1,326.3,2.4,"1,860.00"
Ancillary,Amtrak,71.7,11.6,39.2,18.2,69,2.7,,,,,,
Infrastructure,Amtrak,43.7,11.3,44.6,11.9,67.8,-24.2,,,,,,
Amtrak,Amtrak,573.1,252.8,281.4,125.9,660.1,-87,400.6,"4,712.40","1,842.90",945.1,5.9,"16,357.00"
