Route,Type,"Operating
Revenue","Frequency
Variable Costs","Route
Variable costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
City of New Orleans,Long Distance,18.8,23.4,12,7.8,43.2,-24.4,18.1,213.6,166.5,88.2,0.6,662
Texas Eagle,Long Distance,24.3,34.9,15.5,8.6,59,-34.7,23.1,269.9,166.1,128.3,0.9,665
Sunset Limited,Long Distance,11.1,28.9,13.3,9.2,51.4,-40.4,10.2,72,125.2,54.6,0.6,282
Coast Starlight,Long Distance,41.1,48.3,20.5,14.5,83.3,-42.2,39,309.7,207.8,136.2,0.9,654
Lake Shore Limited,Long Distance,33.7,33.5,24.7,11.5,69.8,-36,33.4,320.9,222.8,134.7,0.7,"1,249.00"
Palmetto,Long Distance,25.6,17.5,14.4,7.1,39,-13.4,24.5,289.1,154.7,75.3,0.5,670
Crescent,Long Distance,33.8,32.7,28.1,11.8,72.6,-38.7,33,248.7,219.4,106.4,0.9,668
Auto Train,Long Distance,114.6,49.8,33.8,12.8,96.4,18.2,117.1,266.9,334.9,149.3,0.6,650
Long Distance Adjustments,Long Distance,0,0.1,1.8,2.2,4.1,-4.1,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,548.5,578.6,315,184.7,"1,078.30",-529.8,537.3,"3,617.90","3,349.20","1,872.00",12.9,"10,299.00"
Ancillary,Amtrak,373.8,61.8,203.8,92.2,357.7,16.1,,,,,0,0
Infrastructure,Amtrak,248.1,63,233.9,77.4,374.3,-126.2,,,,,7.4,"613,355.30"
Amtrak,Amtrak,"3,090.20","1,413.70","1,568.50",761.6,"3,743.70",-653.5,"2,091.50","25,825.40","10,397.10","5,291.90",33.1,"92,466.30"
