Route,Type,"Operating
Revenue","Frequency
Variable Costs","Route
Variable costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Coast Starlight,Long Distance,46.3,51.6,22.8,18.5,93,-46.7,43.6,352.7,278.6,160.7,0.9,684
Lake Shore Limited,Long Distance,30.6,31.5,23,13.6,68.1,-37.4,29.4,319.3,223.6,130.6,0.7,"1,215.00"
Palmetto,Long Distance,25.5,16.7,14.1,9.6,40.3,-14.8,24.1,280.6,151.2,68.2,0.6,701
Crescent,Long Distance,27.2,27.3,24.5,13.2,65,-37.8,26,202.7,185.4,87.8,0.8,590
Auto Train,Long Distance,119.7,46.9,33.8,17,97.7,22,118.6,279,348.5,168.8,0.6,708
Long Distance Adjustments,Long Distance,0.1,0.4,42.2,4.7,47.3,-47.2,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,534.6,545.9,336.1,215.6,"1,097.50",-563,511.6,"3,496.90","3,396.60","1,859.20",12.6,"10,015.00"
Ancillary,Amtrak,380.1,66.8,203.2,99.5,369.6,10.5,,,,,,
Infrastructure,Amtrak,255.4,62.2,242.8,98.2,403.1,-147.7,,,,,,
Amtrak,Amtrak,"2,834.50","1,337.30","1,524.90",857.3,"3,719.50",-884.9,"1,780.20","22,932.60","10,273.30","4,886.20",32.7,"91,003.50"
