Route,Type,"Operating
Revenue","Frequency
Variable Costs","Route
Variable costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Coast Starlight,Long Distance,44.8,52.8,22.3,17,92.1,-47.3,42.5,337.4,225.5,148.8,0.9,714
Lake Shore Limited,Long Distance,37,36.8,27.1,13.2,77.1,-40.1,36.7,351,246.1,147,0.8,"1,368.00"
Palmetto,Long Distance,27.9,19.3,15.7,8.2,43.2,-15.3,26.7,318,169.3,82.2,0.6,730
Crescent,Long Distance,36.6,35.5,31,13.6,80.1,-43.5,35.7,270.6,240.5,115.7,1,728
Auto Train,Long Distance,121.6,54.2,37.1,14.8,106,15.6,124.3,283.6,361.7,163.6,0.6,710
Long Distance Adjustments,Long Distance,0,0.1,2.1,2.6,4.7,-4.7,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,596,633,345.3,214.1,"1,192.40",-596.4,584.1,"3,942.40","3,655.00","2,042.80",14.1,"11,243.00"
Ancillary,Amtrak,410.2,67.5,224.9,100.2,392.6,17.6,,,,,,
Infrastructure,Amtrak,271.2,68.8,255,91.2,415.1,-143.9,,,,,,
Amtrak,Amtrak,"3,390.70","1,548.60","1,729.20",870.2,"4,148.00",-757.2,"2,290.50","28,536.60","11,385.60","5,823.20",36.2,"100,922.50"
