Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_500ft_ft,Elev_Delta_FOL_500_1kft_ft,Elev_Delta_FOL_1k_1k5ft_ft,Elev_Delta_FOL_1k5_2kft_ft,Elev_Delta_FOL_2k_2k5ft_ft,Elev_Delta_PRE_500ft_ft,Elev_Delta_PRE_500_1kft_ft,Elev_Delta_PRE_1k_1k5ft_ft,Elev_Delta_PRE_1k5_2kft_ft,Elev_Delta_PRE_2k_2k5ft_ft,Curve_CUR_degree,Curve_Max_FOL_500ft_degree,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Elev_Delta_FOL_500ft_ft,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch
31.01,624.2418429,0.8176428999998961,0.9783856999999898,1.299285800000007,1.4601286000000755,0.6909286000000066,0.6609285999999202,0.9560857000000169,0.9366285999999491,0.9709570999999642,0.9793856999999662,0.8919857000000775,0.00074,11.59782,13.02022,13.1112,1.1462,0.001,0.00092,2.44656,0.0009,0.0009,0.0009,0.9783856999999898,13.02022,13.1112,1.1462,0.001,0.00092,2.44656,0.0009,0.0009,0.0009,0,1,0,POINT (-79.39795199999999 36.080306),-79.3979,36.08029,0,0,0,3129,560550,4150,15500,7000,10850,201100,50700
0.0,624.6415,0.7491284999999834,1.0498285999999553,1.299285800000007,1.4601286000000755,0.6620285999999851,0.7072286000000076,0.9560857000000169,0.9366285999999491,0.9709570999999642,0.9793856999999662,0.8919857000000775,0.0002,11.59782,13.02022,13.1112,1.1462,0.001,0.00092,2.44656,0.00074,0.0009,0.0009,1.0498285999999553,13.02022,13.1112,1.1462,0.001,0.00092,2.44656,0.00074,0.0009,0.0009,0,1,0,POINT (-79.398067 36.080306),-79.3981,36.08026,0,0,0,3128,560600,4100,15450,6950,10900,201150,50750
0.92,624.6415,0.7491284999999834,1.0498285999999553,1.299285800000007,1.4601286000000755,0.6620285999999851,0.7072286000000076,0.9560857000000169,0.9366285999999491,0.9709570999999642,0.9793856999999662,0.8919857000000775,0.0002,11.59782,13.02022,13.1112,1.1462,0.001,0.00092,2.44656,0.00074,0.0009,0.0009,1.0498285999999553,13.02022,13.1112,1.1462,0.001,0.00092,2.44656,0.00074,0.0009,0.0009,0,1,0,POINT (-79.39803599999999 36.080337),-79.3981,36.08026,0,0,0,3128,560600,4100,15450,6950,10900,201150,50750
0.02,622.5235857,0.8678285999999389,0.8792856999999685,1.299285800000007,1.4601286000000755,1.077428599999962,0.6466141999999309,0.9560857000000169,0.8914999999999509,0.9793856999999662,0.9194286000000602,0.9515572000000247,0.0,6.09194,11.59782,13.02022,13.1112,0.0954,0.00092,2.44656,0.0009,0.0009,0.0009,0.8792856999999685,11.59782,13.02022,13.1112,0.0954,0.00092,2.44656,0.0009,0.0009,0.0009,0,1,0,POINT (-79.397387 36.08039),-79.3974,36.0804,0,0,0,3133,560350,4350,15700,7200,10650,200900,50500
0.0,636.6801286,0.6909286000000066,0.6620285999999851,0.7072286000000076,0.99775719999991,0.9579428000000689,0.8295286000000033,1.4601286000000755,1.299285800000007,0.9783856999999898,0.9560857000000169,0.9366285999999491,0.0,1.1462,0.001,0.903,0.0006,0.0006,13.1112,13.02022,11.59782,0.00092,2.44656,0.6620285999999851,0.001,0.903,0.0006,0.0006,13.1112,13.02022,11.59782,0.00092,2.44656,0,1,0,POINT (-79.40201099999999 36.080509),-79.4021,36.08042,0,0,0,3098,562100,2600,13950,5450,12400,202650,52250
67.18,620.2166857,0.9167142999999669,0.9560857000000169,1.0498285999999553,1.299285800000007,1.4601286000000755,0.6620285999999851,0.9366285999999491,0.9709570999999642,0.9793856999999662,0.8919857000000775,0.9515572000000247,0.00074,0.00092,11.59782,13.02022,13.1112,1.1462,2.44656,0.00074,0.0009,0.0009,0.0009,0.9560857000000169,11.59782,13.02022,13.1112,1.1462,2.44656,0.00074,0.0009,0.0009,0.0009,0,1,0,POINT (-79.396716 36.080558),-79.3967,36.08053,0,0,0,3138,560100,4600,15950,7450,10400,200650,50250
0.06,619.7593286,0.922885699999938,0.9560857000000169,0.9783856999999898,1.299285800000007,1.4601286000000755,0.6909286000000066,0.9366285999999491,0.9709570999999642,0.9793856999999662,0.8919857000000775,0.9515572000000247,0.00074,0.00092,11.59782,13.02022,13.1112,1.1462,2.44656,0.0009,0.0009,0.0009,0.0009,0.9560857000000169,11.59782,13.02022,13.1112,1.1462,2.44656,0.0009,0.0009,0.0009,0.0009,0,1,0,POINT (-79.396564 36.080558),-79.3966,36.08056,0,0,0,3139,560050,4650,16000,7500,10350,200600,50200
2.78,619.2938,0.9366285999999491,0.9560857000000169,0.8697285000000647,1.299285800000007,1.4601286000000755,0.6909286000000066,0.9165857000000415,0.9709570999999642,0.9793856999999662,0.9212284999999838,0.9515572000000247,0.0,0.00092,6.09194,13.02022,13.1112,1.1462,2.44656,0.0009,0.0009,0.0009,0.0009,0.9560857000000169,6.09194,13.02022,13.1112,1.1462,2.44656,0.0009,0.0009,0.0009,0.0009,0,1,0,POINT (-79.396518 36.080566),-79.3965,36.08058,0,0,0,3140,560000,4700,16050,7550,10300,200550,50150
0.01,619.7593286,0.922885699999938,0.9560857000000169,0.9783856999999898,1.299285800000007,1.4601286000000755,0.6909286000000066,0.9366285999999491,0.9709570999999642,0.9793856999999662,0.8919857000000775,0.9515572000000247,0.00074,0.00092,11.59782,13.02022,13.1112,1.1462,2.44656,0.0009,0.0009,0.0009,0.0009,0.9560857000000169,11.59782,13.02022,13.1112,1.1462,2.44656,0.0009,0.0009,0.0009,0.0009,0,1,0,POINT (-79.396556 36.080574),-79.3966,36.08056,0,0,0,3139,560050,4650,16000,7500,10350,200600,50200
48.07,560.5483714,0.9425143000000844,1.2563857000000098,0.9023999999999432,-0.020228599999995822,-0.19912860000010824,-0.4251143000000184,1.1115000000000919,1.4567428999999947,0.9735000000000582,2.039814299999989,1.3346142999999984,3.05642,11.1344,14.098,0.001,9.6726,14.9876,8.32592,0.00092,0.00072,0.30718,2.18222,1.2563857000000098,14.098,0.001,9.6726,14.9876,8.32592,0.00092,0.00072,0.30718,2.18222,0,1,0,POINT (-79.12245499999999 36.069156),-79.1225,36.06913,0,0,0,5250,454500,2950,121550,55350,1300,95050,50650
