Route,Type,"Operating
Revenue","Frequency
Variable Costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Gulf Coast Limited,State Supported,0.4,0.3,0.3,0.8,-0.4,0.4,0,1.1,0,0,112
Pere Marquette,State Supported,4.4,2.1,0.7,4.7,-0.2,1.9,47.6,11.5,7.3,0.1,414
Carolinian,State Supported,11.7,7.8,1.6,13.1,-1.4,9.1,176.1,70.4,38.5,0.2,287
Piedmont,State Supported,5.8,4.3,1,6.4,-0.6,3.3,168.5,40,19.5,0.2,"1,257.00"
Non Nec Special Trains & Adjustments,State Supported,0.3,1.2,4.2,8.5,-8.2,0.2,0.1,4.4,0,0.1,554
State Supported,State Supported,438.6,269.7,93.8,583,-144.4,237.4,"6,698.70","2,452.00",830.4,7.8,"39,101.60"
Silver Star,Long Distance,22.9,28.1,6.8,54,-31,22.2,202.2,151.4,88.2,0.6,421
Cardinal,Long Distance,4.8,8.4,3.2,15.4,-10.6,4.6,46.7,31.8,17.7,0.2,176
Silver Meteor,Long Distance,22,20.3,6.1,41.8,-19.8,21.9,148.5,138.1,80.7,0.5,391
Empire Builder,Long Distance,24.5,42.2,9.5,65.5,-41,24,177.2,265,114.1,1,745
Capitol Limited,Long Distance,10.1,11.8,5.3,25,-14.9,10.4,78.3,54,33,0.3,402
California Zephyr,Long Distance,28.7,43.7,14.3,74.3,-45.6,27.7,189.2,218.1,112.1,1,480
Southwest Chief,Long Distance,22,38.8,9.7,68.8,-46.8,21.9,132.3,192.9,114.9,0.9,413
City of New Orleans,Long Distance,10.8,14.6,4.2,26.5,-15.7,10.4,126.8,103,50.8,0.4,416
Texas Eagle,Long Distance,14.4,21.6,4.7,35.7,-21.3,13.7,165.8,104.8,77,0.5,420
Sunset Limited,Long Distance,7.1,18.5,4.5,31.7,-24.6,6.5,47.2,86,35.4,0.4,179
Coast Starlight,Long Distance,23.3,29.8,8.2,51.7,-28.3,22.3,194.3,131.9,82.2,0.5,409
Lake Shore Limited,Long Distance,17.6,20.7,6.4,42.4,-24.8,17.6,187.6,131.6,76.2,0.5,800
Palmetto,Long Distance,15.2,11.6,3.9,24.6,-9.4,14.6,171,94.8,43.7,0.3,424
Crescent,Long Distance,20.7,20.8,6.4,45,-24.3,20.3,154.9,138.6,63.7,0.6,424
Auto Train,Long Distance,74.6,32.9,7.3,61.5,13.1,76.7,169.6,220.3,111.2,0.3,408
Long Distance Adjustments,Long Distance,0,0.1,0.8,2.5,-2.5,N/A,N/A,N/A,N/A,N/A,
Long Distance,Long Distance,318.9,363.9,101.3,666.3,-347.5,315,"2,191.40","2,062.20","1,100.90",8.1,"6,508.00"
Ancillary,Amtrak,238.3,39.1,58.8,225.9,12.4,,,,,,
Infrastructure,Amtrak,154.7,40.2,41.7,227.4,-72.7,,,,,,
Amtrak,Amtrak,"1,867.10",887.4,432.4,"2,300.80",-433.7,"1,256.60","15,294.60","6,409.30","3,105.10",20.6,"57,884.30"
