Speed_mph,Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Loco,Coach,CCU
71.2,0.0,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,0.664,8.27262,-0.00867828599999939,-0.007191856999999118,0.005176571000000649,0.012068715000000339,0.005151999999999362,-0.002444999999999027,0.0002460000000007767,0.000288857000000462,0.004370000000000119,10650,200900,50500,4350,15700,7200,1.0,7.0,0.0
69.23,0.00092,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,0.37,8.27262,-0.009166285999999673,-0.007191856999999118,0.005176571000000649,0.012068715000000339,0.005151999999999362,-0.002444999999999027,0.0002460000000007767,0.00016914300000053117,0.004370000000000119,10600,200850,50450,4400,15750,7250,2.0,4.0,0.0
68.08,0.0,13.1112,0.0009,20.75936,15.60202,1.1462,0.37,7.3268,10.541,-0.006909286000000066,-0.002444999999999027,-0.005911714999999731,0.012068715000000339,0.002718284999999696,-0.004867857000000413,0.0002460000000007767,0.004370000000000119,0.01187242900000001,12400,202650,52250,2600,13950,5450,2.0,4.0,0.0
65.32,0.0,13.1112,0.0009,20.75936,15.60202,1.1462,0.37,7.3268,10.541,-0.006909286000000066,-0.002444999999999027,-0.005911714999999731,0.012068715000000339,0.002718284999999696,-0.004867857000000413,0.0002460000000007767,0.004370000000000119,0.01187242900000001,12400,202650,52250,2600,13950,5450,2.0,4.0,0.0
69.0,0.00074,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,0.37,8.27262,-0.00916714299999967,-0.006197856999999658,0.005176571000000649,0.012068715000000339,0.005151999999999362,-0.002444999999999027,-0.000710285999999769,0.0002460000000007767,0.004370000000000119,10400,200650,50250,4600,15950,7450,2.0,5.0,0.0
48.77,2.52024,11.1344,9.5785,12.6384,4.8546,14.9876,13.0524,0.44638,18.4272,-0.007568142999999737,0.007280572000000802,0.022628286000000344,0.10527342799999928,0.028804284999999936,0.024354285000000572,0.14887571399999955,-0.005818000000000438,0.00041142800000102395,1500,95250,50850,2750,121350,55150,1.0,7.0,0.0
50.34,2e-05,8.32592,11.71386,12.6384,4.8546,14.9876,13.0524,0.44638,18.4272,-0.01095842800000014,0.007280572000000802,0.022628286000000344,0.10527342799999928,0.0259457139999995,0.011286857000000055,0.14887571399999955,-0.005818000000000438,0.00041142800000102395,1200,94950,50550,3050,121650,55450,1.0,7.0,0.0
50.87,4e-05,14.59428,14.08598,22.3026,19.7848,19.26312,4.0218,10.264,4.7804,-0.007743285999999898,-0.0018611420000002,0.006953857999999968,0.006517714000000297,0.012385143000000199,0.04288942899999938,0.007750570999999127,0.0211231429999998,0.026761142999999946,7650,62450,18050,2300,154150,87950,2.0,4.0,0.0
47.05,0.00076,14.59428,14.08598,22.3026,19.7848,19.26312,4.0218,10.264,4.7804,-0.009817285999999967,-0.0018611420000002,0.006953857999999968,0.006517714000000297,0.012385143000000199,0.04288942899999938,0.007750570999999127,0.0211231429999998,0.026761142999999946,7600,62400,18000,2350,154200,88000,1.0,4.0,1.0
51.26,1.30096,14.8648,16.09134,14.6794,13.9544,6.17422,0.916,7.95424,15.81278,-0.010930429000000004,0.007294713999999658,0.01285971399999994,0.002577999999999747,0.025017286000000354,-0.0041058569999995595,0.006130856999999992,0.00857957199999987,0.009782999999999901,1550,31050,38800,5550,185550,13350,2.0,4.0,0.0
52.71,2.50116,14.8648,16.09134,14.6794,13.9544,9.60296,0.916,5.1254,15.81278,-0.009718284999999582,0.007294713999999658,0.01285971399999994,0.002577999999999747,0.025017286000000354,-0.0041058569999995595,0.006029429000000164,0.00857957199999987,0.009782999999999901,1150,30650,38400,5950,185950,13750,2.0,4.0,0.0
51.3,0.0,14.8648,16.09134,14.6794,13.9544,9.60296,0.916,5.1254,15.81278,-0.012887857000000053,0.007294713999999658,0.01285971399999994,0.002577999999999747,0.025017286000000354,-0.0041058569999995595,0.0058464290000000575,0.008027571999999737,0.009782999999999901,1050,30550,38300,6050,186050,13850,1.0,7.0,0.0
55.23,0.001,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.0036110000000002173,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.004800285000000031,0.025017286000000354,0.002577999999999747,0.01285971399999994,0.007294713999999658,1350,20750,28500,2150,195850,23650,2.0,4.0,0.0
51.96,0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.005632572000000096,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.004800285000000031,0.025017286000000354,0.002577999999999747,0.01285971399999994,0.007294713999999658,1650,21050,28800,1850,195550,23350,2.0,4.0,0.0
54.72,0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.005041286000000014,0.07346828600000038,0.010107856999999854,0.0535592859999997,0.10422528600000021,0.025017286000000354,0.002577999999999747,0.01285971399999994,0.007294713999999658,1950,21350,29100,1550,195250,23050,2.0,4.0,0.0
51.6,4.858,10.251,11.2558,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.008159856999999987,0.07346828600000038,0.06559000000000026,0.007373000000000047,0.10422528600000021,0.025017286000000354,0.00994428599999992,0.01285971399999994,0.007294713999999658,2200,21600,29350,1300,195000,22800,1.0,7.0,0.0
53.73,0.0006,6.834,11.2558,8.2028,13.277,13.9544,14.6794,16.09134,14.8648,-0.0049344279999996845,-0.0008331429999998363,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.025017286000000354,0.01285971399999994,0.0026795709999998963,0.007294713999999658,2650,22050,29800,850,194550,22350,2.0,5.0,0.0
52.36,0.0004,13.9544,11.2558,2.4026,13.277,9.2752,16.09134,13.57834,14.8648,-0.0008809999999999718,1.5857000000210065e-05,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.025017286000000354,0.01285971399999994,0.007294713999999658,0.002258572000000072,3200,22600,30350,300,194000,21800,2.0,4.0,0.0
10.56,0.0,13.9544,11.2558,2.4026,13.277,14.6794,16.09134,14.8648,9.60296,-0.008298286000000417,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.001171572000000083,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,3450,22850,30600,50,193750,21550,2.0,5.0,0.0
51.68,5.19,13.9544,11.2558,5.2626,13.277,14.6794,16.09134,14.8648,9.60296,-0.010629571000000055,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.002577999999999747,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,400,23300,31050,2950,193300,21100,1.0,7.0,0.0
51.31,0.0004,13.9544,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,-0.008267571999999746,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.002577999999999747,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,600,23500,31250,2750,193100,20900,1.0,7.0,0.0
48.23,0.0008,13.9544,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,-0.007705571000000191,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.002577999999999747,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,700,23600,31350,2650,193000,20800,2.0,4.0,0.0
51.51,0.0608,13.9544,11.2558,5.8212,13.277,14.6794,16.09134,14.8648,6.17422,-0.007800143000000048,0.025017286000000354,0.07346828600000038,0.010107856999999854,0.10422528600000021,0.002577999999999747,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,800,23700,31450,2550,192900,20700,2.0,4.0,0.0
48.22,0.001,13.9544,10.251,11.2558,13.277,14.6794,16.09134,14.8648,4.6482,-0.007120142999999643,0.025017286000000354,0.07346828600000038,0.047458572000000455,0.006506713999999647,0.007149286000000075,0.01285971399999994,0.007294713999999658,-0.0041058569999995595,1150,24050,31800,2200,192550,20350,2.0,4.0,0.0
51.59,0.609,13.9544,6.834,11.2558,11.7244,14.6794,16.09134,14.8648,1.2506,-0.009270142999999962,0.025017286000000354,0.012760571000000028,0.07346828600000038,0.008682000000000016,0.01285971399999994,0.0026795709999998963,0.007294713999999658,-0.0041058569999995595,1400,24300,32050,1950,192300,20100,2.0,4.0,0.0
49.06,0.0,13.9544,6.834,11.2558,8.2028,14.6794,16.09134,14.8648,1.2506,-0.009728570999999988,0.025017286000000354,-0.0008331429999998363,0.07346828600000038,0.010107856999999854,0.01285971399999994,0.0026795709999998963,0.007294713999999658,-0.0013877139999999598,1600,24500,32250,1750,192100,19900,1.0,7.0,0.0
52.72,6.17422,14.8648,16.09134,14.6794,13.9544,4.6482,0.815,7.95424,15.81278,-0.011725000000000136,0.007294713999999658,0.01285971399999994,0.002577999999999747,0.025017286000000354,-0.0041058569999995595,0.006130856999999992,0.00857957199999987,0.009782999999999901,1950,31450,39200,5150,185150,12950,1.0,7.0,0.0
63.7,0.1532,14.8648,16.09134,14.6794,13.9544,1.2506,0.3502,10.34818,15.81278,-0.005411999999999466,0.007294713999999658,0.0026795709999998963,0.01285971399999994,0.025017286000000354,-0.0037551429999996343,0.006130856999999992,0.00857957199999987,0.009782999999999901,2350,31850,39600,4750,184750,12550,2.0,4.0,0.0
