"Curve_CUR_degree","Curve_Max_FOL_2500ft_degree","Curve_Max_FOL_2k5_5kft_degree","Curve_Max_FOL_5k_7k5ft_degree","Curve_Max_FOL_7k5_10kft_degree","Curve_Max_PRE_2500ft_degree","Curve_Max_PRE_2k5_5kft_degree","Curve_Max_PRE_5k_7k5ft_degree","Curve_Max_PRE_7k5_10kft_degree","Elev_Delta_CUR_ft","Elev_Delta_FOL_2500ft_ft","Elev_Delta_FOL_2k5_5kft_ft","Elev_Delta_FOL_5k_7k5ft_ft","Elev_Delta_FOL_7k5_10kft_ft","Elev_Delta_PRE_2500ft_ft","Elev_Delta_PRE_2k5_5kft_ft","Elev_Delta_PRE_5k_7k5ft_ft","Elev_Delta_PRE_7k5_10kft_ft","Distance_to_FOL_Intersection","Distance_to_FOL_Station","Distance_to_FOL_Switch","Distance_to_PRE_Intersection","Distance_to_PRE_Station","Distance_to_PRE_Switch","Carolinian","Crescent","Piedmont","Speed_mph"
0,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.320471399999974,7.34682860000004,1.01078569999999,10.4225286,0.372885699999983,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1050,6750,28200,2450,196150,23950,0,0,0,51.6140319921394
4e-04,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.331414300000006,7.34682860000004,1.01078569999999,10.4225286,0.228414299999997,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1000,6700,28150,2500,196200,24000,0,0,0,52.0000004207108
0.001,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.334642900000006,7.34682860000004,1.01078569999999,10.4225286,0.18870000000004,2.50172860000004,0.117157200000008,1.28597139999999,0.729471399999966,950,6650,28100,2550,196250,24050,0,0,0,51.9304937540442
6e-04,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.339785699999993,7.34682860000004,1.01078569999999,10.4225286,0.18870000000004,2.50172860000004,0.0376429000000371,1.28597139999999,0.729471399999966,900,6600,28050,2600,196300,24100,0,0,0,52.0697877540442
4e-04,11.2558,2.4026,13.277,12.2306,13.9544,7.388,16.09134,13.57834,-0.358628599999975,7.34682860000004,1.01078569999999,10.4225286,0.18870000000004,2.50172860000004,0.387228499999992,1.28597139999999,0.729471399999966,850,6550,28000,2650,196350,24150,0,0,0,51.5047641205665
4e-04,11.2558,2.4026,13.277,12.2306,13.9544,7.388,16.09134,13.57834,-0.358014299999979,7.34682860000004,1.01078569999999,10.4225286,0.18870000000004,2.14704290000003,2.50172860000004,1.28597139999999,0.729471399999966,800,6500,27950,2700,196400,24200,0,0,0,49.7960762529167
0,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.326657100000034,7.34682860000004,1.01078569999999,10.4225286,0.368214299999977,0.319785699999954,2.50172860000004,1.28597139999999,0.729471399999966,750,6450,27900,2750,196450,24250,0,0,0,50.2090910165945
2e-04,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.316814300000033,7.34682860000004,1.01078569999999,10.4225286,1.2887571,0.00158570000002101,2.50172860000004,1.28597139999999,0.729471399999966,700,6400,27850,2800,196500,24300,0,0,0,49.8938426832612
2e-04,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.328300000000013,7.34682860000004,1.01078569999999,10.4225286,1.72034289999999,0.00158570000002101,2.50172860000004,1.28597139999999,0.729471399999966,650,6350,27800,2850,196550,24350,0,0,0,49.5979240165946
0,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.347857099999999,7.34682860000004,1.01078569999999,10.4225286,1.80142860000001,-0.0452000000000226,2.50172860000004,1.28597139999999,0.729471399999966,600,6300,27750,2900,196600,24400,0,0,0,49.3213590165945
0.0012,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.366814299999987,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.179342899999995,2.50172860000004,1.28597139999999,0.729471399999966,550,6250,27700,2950,196650,24450,0,0,0,49.5079031820957
6e-04,11.2558,8.2028,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.272071400000016,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.306685700000003,2.50172860000004,1.28597139999999,0.729471399999966,500,6200,27650,3000,196700,24500,0,0,0,48.0395999129759
4e-04,11.2558,8.2028,13.277,12.2306,13.9544,9.2752,14.6794,16.09134,-0.109257099999979,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.272071400000016,2.50172860000004,1.28597139999999,0.729471399999966,450,6150,27600,3050,196750,24550,0,0,0,47.9007055930736
4e-04,11.2558,8.2028,13.277,12.2306,13.9544,9.2752,14.6794,16.09134,-0.0833142999999836,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.109257099999979,2.50172860000004,1.28597139999999,0.729471399999966,400,6100,27550,3100,196800,24600,0,0,0,47.9357481645022
6.834,11.2558,8.2028,13.277,12.2306,13.9544,9.2752,14.6794,16.09134,-0.123314300000004,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.729471399999966,350,6050,27500,3150,196850,24650,0,0,0,47.4999466594517
1.6652,11.2558,8.2028,13.277,17.824,13.9544,9.2752,14.6794,16.09134,-0.132971499999996,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.729471399999966,300,6000,27450,3200,196900,24700,0,0,0,47.5693236936397
6e-04,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-3.56914290000003,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.729471399999966,250,5950,27400,3250,196950,24750,0,0,0,47.976970033189
6e-04,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.4688142,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.406199999999956,200,5900,27350,3300,197000,24800,0,0,0,46.1589679220779
6e-04,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.97421429999997,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.26795709999999,150,5850,27300,3350,197050,24850,0,0,0,45.7179932554113
1.281,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.93568579999999,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.26795709999999,100,5800,27250,3400,197100,24900,0,0,0,45.9265729458875
3.0698,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.68845709999999,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.26795709999999,50,5750,27200,3450,197150,24950,0,0,0,45.3681109458875
8e-04,11.2558,11.7244,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.40562850000003,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.26795709999999,0,5700,27150,0,197200,25000,0,0,0,43.9332981233212
8e-04,11.2558,11.7244,13.277,17.824,6.834,13.9544,14.6794,16.09134,-5.59572860000003,7.34682860000004,1.01078569999999,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.26795709999999,1750,5650,27100,50,197250,25050,0,0,0,47.572141910867
0,11.2558,11.7244,13.277,17.824,6.834,13.9544,14.6794,16.09134,1.2760571,7.34682860000004,0.868200000000002,10.4225286,1.84820000000002,-0.0833142999999836,2.50172860000004,1.28597139999999,0.26795709999999,1700,5600,27050,100,197300,25100,0,0,0,45.6502321929182
4e-04,11.2558,13.277,9.9716,17.824,6.834,13.9544,14.6794,16.09134,6.93594290000004,7.34682860000004,0.830814299999986,10.4225286,1.84820000000002,1.2760571,2.50172860000004,1.28597139999999,0.26795709999999,1650,5550,27000,150,197350,25150,0,0,0,45.9643884170079
8.4002,11.2558,13.277,9.3018,17.824,6.834,13.9544,14.6794,16.09134,7.34682860000004,7.12068569999997,0.830814299999986,10.4225286,1.84820000000002,6.93594290000004,2.50172860000004,1.28597139999999,0.641728600000022,1600,5500,26950,200,197400,25200,0,0,0,46.9090128848733
10.251,11.2558,13.277,9.3018,17.824,8.4002,13.9544,14.6794,16.09134,7.12068569999997,6.81094279999996,0.802371400000027,10.4225286,1.84820000000002,7.34682860000004,2.50172860000004,1.28597139999999,1.04627139999997,1550,5450,26900,250,197450,25250,0,0,0,47.5606483650443
4e-04,11.2558,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,6.81094279999996,6.55900000000003,0.737300000000005,10.4225286,1.84820000000002,7.34682860000004,2.50172860000004,0.994428599999992,1.28597139999999,1500,5400,26850,300,197500,25300,0,0,0,48.6035746983777
0,11.2558,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,6.55900000000003,4.74585720000005,0.650671399999965,10.4225286,1.84820000000002,7.34682860000004,2.50172860000004,0.714928600000007,1.28597139999999,1450,5350,26800,350,197550,25350,0,0,0,48.1750558552404
0,11.2558,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,4.74585720000005,1.29238569999995,0.538299999999992,10.4225286,1.84820000000002,7.34682860000004,2.50172860000004,0.714928600000007,1.28597139999999,1400,5300,26750,400,197600,25400,0,0,0,46.8018997081419
6e-04,11.2558,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,1.29238569999995,1.01078569999999,0.484700000000032,10.4225286,1.84820000000002,7.34682860000004,2.50172860000004,0.58168569999998,1.28597139999999,1350,5250,26700,450,197650,25450,0,0,0,46.6621863605483
11.2558,6.2136,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,-0.482071399999995,1.01078569999999,0.448242900000025,10.4225286,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,1300,5200,26650,500,197700,25500,0,0,0,46.1721549732467
6.2136,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.515285699999993,1.01078569999999,5.35592859999997,10.4225286,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,1250,5150,26600,550,197750,25550,0,0,0,47.3061217885425
8e-04,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.522957200000008,1.01078569999999,10.4225286,10.2259714,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,1200,5100,26550,600,197800,25600,0,0,0,47.505051884692
8e-04,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.538742899999988,1.01078569999999,10.4225286,8.98221430000001,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,1150,5050,26500,650,197850,25650,0,0,0,47.5363505513587
0,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.52294280000001,1.01078569999999,10.4225286,5.41032860000001,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,1100,5000,26450,700,197900,25700,0,0,0,46.7516805513587
0,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.482871399999965,1.01078569999999,10.4225286,1.62399999999997,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,1050,4950,26400,750,197950,25750,0,0,0,47.1371409040586
8e-04,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.446585800000037,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,1000,4900,26350,800,198000,25800,0,0,0,46.9617007029196
6e-04,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.33480000000003,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,950,4850,26300,850,198050,25850,0,0,0,46.9954914190455
2e-04,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.228857099999971,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,900,4800,26250,900,198100,25900,0,0,0,46.7840028268264
0.4636,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.181314299999997,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,850,4750,26200,950,198150,25950,0,0,0,46.9451619657153
5.8212,5.2626,13.277,5.05,17.824,11.2558,13.9544,14.6794,16.09134,-0.1295571,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,800,4700,26150,1000,198200,26000,0,0,0,46.7487728109533
6e-04,5.2626,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.108114300000011,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,750,4650,26100,1050,198250,26050,0,0,0,46.8946877491599
0.431,5.2626,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.0809143000000176,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,700,4600,26050,1100,198300,26100,0,0,0,46.8697119538383
5.2626,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.0503999999999678,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,650,4550,26000,1150,198350,26150,0,0,0,46.5407115469118
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.0815714999999955,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,600,4500,25950,1200,198400,26200,0,0,0,46.4227870371716
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.094757100000038,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,550,4450,25900,1250,198450,26250,0,0,0,46.3409683705049
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.0449428000000012,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,500,4400,25850,1300,198500,26300,0,0,0,46.4917803705049
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.00208570000000918,1.01078569999999,10.4225286,0.480028500000003,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,450,4350,25800,1350,198550,26350,0,0,0,46.502104418124
4e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.0552857000000131,1.01078569999999,10.4225286,0.472771399999999,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,400,4300,25750,1400,198600,26400,0,0,0,46.471536468124
4e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.122185699999989,1.01078569999999,10.4225286,0.372885699999983,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,350,4250,25700,1450,198650,26450,0,0,0,46.8146169443144
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.177528600000016,1.01078569999999,10.4225286,0.228414299999997,1.84820000000002,7.34682860000004,2.50172860000004,0.257799999999975,1.28597139999999,300,4200,25650,1500,198700,26500,0,0,0,46.5033596943144
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.220785700000022,1.01078569999999,10.4225286,0.18870000000004,1.84820000000002,7.34682860000004,2.50172860000004,0.117157200000008,1.28597139999999,250,4150,25600,1550,198750,26550,0,0,0,46.4047946943144
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.411114300000008,1.01078569999999,10.4225286,0.18870000000004,1.84820000000002,7.34682860000004,2.50172860000004,0.0376429000000371,1.28597139999999,200,4100,25550,1600,198800,26600,0,0,0,46.2891190276478
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,7.388,16.09134,0.444842899999969,1.01078569999999,10.4225286,0.18870000000004,1.84820000000002,7.34682860000004,2.50172860000004,0.387228499999992,1.28597139999999,150,4050,25500,1650,198850,26650,0,0,0,46.0409125240403
0,2.4026,13.277,12.2306,17.824,11.2558,13.9544,7.388,16.09134,0.24821419999995,1.01078569999999,10.4225286,0.18870000000004,1.84820000000002,7.34682860000004,2.14704290000003,2.50172860000004,1.28597139999999,100,4000,25450,1700,198900,26700,0,0,0,45.2298386119524
4e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,9.2752,16.09134,0.220642800000007,1.01078569999999,10.4225286,0.368214299999977,1.84820000000002,7.34682860000004,0.319785699999954,2.50172860000004,1.28597139999999,50,3950,25400,1750,198950,26750,0,0,0,44.4897192543144
4e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,9.2752,16.09134,0.273428600000045,1.01078569999999,10.4225286,1.2887571,1.84820000000002,7.34682860000004,0.00158570000002101,2.50172860000004,1.28597139999999,0,3900,25350,0,199000,26800,0,0,0,44.6058039091246
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,9.2752,16.09134,0.246028600000045,1.01078569999999,10.4225286,1.72034289999999,1.84820000000002,7.34682860000004,0.00158570000002101,2.50172860000004,1.28597139999999,3450,3850,25300,50,199050,26850,0,0,0,46.2844806280496
2e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,9.2752,16.09134,0.21438569999998,1.01078569999999,10.4225286,1.80142860000001,1.84820000000002,7.34682860000004,-0.0452000000000226,2.50172860000004,1.28597139999999,3400,3800,25250,100,199100,26900,0,0,0,46.468368961383
4e-04,2.4026,13.277,12.2306,17.824,11.2558,13.9544,9.2752,16.09134,0.0465142999999557,1.01078569999999,10.4225286,1.84820000000002,1.59702859999999,7.34682860000004,-0.179342899999995,2.50172860000004,1.28597139999999,3350,3750,25200,150,199150,26950,0,0,0,46.9033255328115
4e-04,8.2028,13.277,12.2306,17.824,11.2558,13.9544,9.2752,16.09134,-0.0185142999999925,1.01078569999999,10.4225286,1.84820000000002,1.16714280000002,7.34682860000004,-0.306685700000003,2.50172860000004,1.28597139999999,3300,3700,25150,200,199200,27000,0,0,0,47.0158058509934
