Speed_mph,Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch
76.32,0.00056,20.75936,15.60202,11.41596,17.03672,0.0009,11.59782,13.1112,0.37,-1.1664856999999529,1.2068715000000338,0.5151999999999362,5.293928499999993,17.712585699999977,-0.5911714999999731,-0.24449999999990268,-0.4358428999998978,0.02460000000007767,6750,197000,46600,8250,19600,11100
46.69,0.00092,20.75936,15.60202,11.41596,17.03672,2.43756,6.09194,13.1112,0.0008,-2.4416856999999936,1.2068715000000338,0.5151999999999362,17.712585699999977,15.966757199999961,-0.5911714999999731,-0.37170000000003256,-0.24449999999990268,0.02460000000007767,6300,196550,46150,8700,20050,11550
69.26,0.0002,20.75936,15.60202,11.41596,17.03672,2.43756,3.77986,13.1112,0.0008,-2.288114299999961,1.2068715000000338,0.5151999999999362,17.712585699999977,2.584057199999961,-0.5911714999999731,-0.37170000000003256,-0.24449999999990268,0.02460000000007767,6100,196350,45950,8900,20250,11750
26.27,0.00052,20.75936,15.60202,11.41596,17.03672,2.43756,2.44656,13.1112,0.903,0.2022856999999476,1.2068715000000338,0.5151999999999362,17.712585699999977,2.584057199999961,-0.16908569999998235,-0.7191856999999118,-0.24449999999990268,0.02460000000007767,5900,196150,45750,9100,20450,11950
66.69,0.0,20.75936,15.60202,8.98086,17.03672,2.43756,2.44656,13.1112,0.903,-1.6002143000000615,1.2068715000000338,0.5151999999999362,17.712585699999977,2.584057199999961,0.5176571000000649,-0.7191856999999118,-0.24449999999990268,0.02460000000007767,5600,195850,45450,9400,20750,12250
67.34,0.0,20.75936,15.60202,8.98086,17.03672,2.43756,2.44656,13.1112,0.903,-1.6002143000000615,1.2068715000000338,0.5151999999999362,17.712585699999977,2.584057199999961,0.5176571000000649,-0.7191856999999118,-0.24449999999990268,0.02460000000007767,5600,195850,45450,9400,20750,12250
61.34,0.00074,7.0132,12.11498,12.7264,13.48258,2.54236,0.00138,0.43906,0.26574,-1.2212713999999778,-0.06005720000007386,1.170614300000011,0.9961141999999654,0.4395286000000169,0.10192849999998543,0.3562285000000429,-0.051542899999958536,-0.19757149999998092,5850,123400,79000,2800,93200,27000
57.06,0.0,8.9202,12.7264,13.48258,1.37004,7.0132,1.50332,0.00138,0.43906,-0.9617143000000397,1.170614300000011,0.9961141999999654,0.36931430000004184,0.7282000000000153,-0.06005720000007386,0.33865719999994326,0.3562285000000429,-0.051542899999958536,4100,121650,77250,4550,94950,28750
54.08,0.0004,8.6222,12.7264,13.48258,2.66086,7.0132,0.92932,0.00138,0.43906,-1.2297428000000536,0.83299999999997,1.170614300000011,0.36931430000004184,0.7282000000000153,-0.06005720000007386,0.3562285000000429,0.31441430000006676,-0.051542899999958536,4350,121900,77500,4300,94700,28500
53.54,7.0132,8.6222,12.7264,13.48258,2.66086,3.4022,0.92932,0.00138,0.43906,-1.0083429000000024,0.08621430000005148,1.170614300000011,0.36931430000004184,0.7282000000000153,-0.06005720000007386,0.3562285000000429,0.30195709999998144,-0.051542899999958536,4450,122000,77600,4200,94600,28400
53.69,0.0002,8.6222,12.7264,13.48258,2.66086,7.0132,0.92932,0.00138,0.43906,-1.1526428999999325,0.5395856999999751,1.170614300000011,0.36931430000004184,0.7282000000000153,-0.06005720000007386,0.3562285000000429,0.3075714000000289,-0.051542899999958536,4400,121950,77550,4250,94650,28450
34.44,0.00054,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,1.5988,8.27262,-0.6195286000000806,-0.7191856999999118,-0.16908569999998235,1.2068715000000338,0.5151999999999362,-0.24449999999990268,0.02460000000007767,0.21834290000003875,0.6911142000000154,10950,201200,50800,4050,15400,6900
71.2,0.0,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,0.664,8.27262,-0.8678285999999389,-0.7191856999999118,0.5176571000000649,1.2068715000000338,0.5151999999999362,-0.24449999999990268,0.02460000000007767,0.0288857000000462,0.4370000000000118,10650,200900,50500,4350,15700,7200
69.23,0.00092,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,0.37,8.27262,-0.9166285999999673,-0.7191856999999118,0.5176571000000649,1.2068715000000338,0.5151999999999362,-0.24449999999990268,0.02460000000007767,0.016914300000053117,0.4370000000000118,10600,200850,50450,4400,15750,7250
68.08,0.0,13.1112,0.0009,20.75936,15.60202,1.1462,0.37,7.3268,10.541,-0.6909286000000066,-0.24449999999990268,-0.5911714999999731,1.2068715000000338,0.2718284999999696,-0.4867857000000413,0.02460000000007767,0.4370000000000118,1.187242900000001,12400,202650,52250,2600,13950,5450
