Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Carolinian,Crescent,Piedmont,x_coordinate,y_coordinate
0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.5410714999999868,7.346828600000038,1.0107856999999854,10.422528600000021,5.410328600000014,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1800,7500,28950,1700,195400,23200,0,0,0,-78.9541,36.02099
0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.5279999999999632,7.346828600000038,1.0107856999999854,10.422528600000021,1.6239999999999668,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1750,7450,28900,1750,195450,23250,0,0,0,-78.954,36.02092
0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.5399856999999884,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1700,7400,28850,1800,195500,23300,0,0,0,-78.9539,36.02085
0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.5632572000000096,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1650,7350,28800,1850,195550,23350,0,0,0,-78.9538,36.02078
0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.5729570999999964,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1600,7300,28750,1900,195600,23400,0,0,0,-78.9537,36.02071
0.0006,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.5126285000000053,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1550,7250,28700,1950,195650,23450,0,0,0,-78.9536,36.02064
0.0006,11.2558,5.2626,13.277,5.05,13.9544,14.6794,16.09134,14.8648,-0.43912860000000364,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1500,7200,28650,2000,195700,23500,0,0,0,-78.9535,36.02057
0.2664,11.2558,5.2626,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.4156285999999909,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1450,7150,28600,2050,195750,23550,0,0,0,-78.9534,36.0205
0.6372,11.2558,5.2626,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.40461429999999154,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1400,7100,28550,2100,195800,23600,0,0,0,-78.9533,36.02043
0.001,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.36110000000002174,7.346828600000038,1.0107856999999854,10.422528600000021,0.4800285000000031,2.5017286000000354,0.2577999999999747,1.285971399999994,0.7294713999999658,1350,7050,28500,2150,195850,23650,0,0,0,-78.9532,36.02037
