Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_FOL_2500ft_ft,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Carolinian,Crescent,Piedmont
31.01,624.2418429,0.008176428999998962,0.014601286000000754,0.0099775719999991,0.002671143000000029,0.005115714999999454,0.009793856999999661,0.026821856999999907,0.02056214299999965,0.017492284999999583,0.00074,13.1112,0.903,1.5988,8.27262,2.44656,2.43756,20.75936,15.60202,0.014601286000000754,0.903,1.5988,8.27262,2.44656,2.43756,20.75936,15.60202,,,,POINT (-79.39795199999999 36.080306),-79.3979,36.08029,0,0,0,3129,560550,4150,15500,7000,10850,201100,50700,0,0,1
0.92,624.6415,0.007491284999999835,0.014601286000000754,0.0099775719999991,0.002671143000000029,0.005115714999999454,0.009793856999999661,0.026821856999999907,0.02056214299999965,0.017492284999999583,0.0002,13.1112,0.903,1.5988,8.27262,2.44656,2.43756,20.75936,15.60202,0.014601286000000754,0.903,1.5988,8.27262,2.44656,2.43756,20.75936,15.60202,,,,POINT (-79.39803599999999 36.080337),-79.3981,36.08026,0,0,0,3128,560600,4100,15450,6950,10900,201150,50750,0,0,1
0.02,622.5235857,0.00867828599999939,0.014601286000000754,0.0099775719999991,0.002671143000000029,0.005115714999999454,0.009793856999999661,0.026821856999999907,0.02056214299999965,0.021756715000000214,0.0,13.1112,0.903,0.664,8.27262,2.44656,2.43756,20.75936,15.60202,0.014601286000000754,0.903,0.664,8.27262,2.44656,2.43756,20.75936,15.60202,,,,POINT (-79.397387 36.08039),-79.3974,36.0804,0,0,0,3133,560350,4350,15700,7200,10650,200900,50500,1,0,0
67.18,620.2166857,0.00916714299999967,0.014601286000000754,0.0099775719999991,0.002671143000000029,0.005115714999999454,0.009793856999999661,0.026821856999999907,0.017956000000000357,0.0440055719999998,0.00074,13.1112,0.903,0.37,8.27262,2.44656,2.43756,20.75936,15.60202,0.014601286000000754,0.903,0.37,8.27262,2.44656,2.43756,20.75936,15.60202,,,,POINT (-79.396716 36.080558),-79.3967,36.08053,0,0,0,3138,560100,4600,15950,7450,10400,200650,50250,0,0,1
0.06,619.7593286,0.009228856999999379,0.014601286000000754,0.0099775719999991,0.002671143000000029,0.005115714999999454,0.009793856999999661,0.026821856999999907,0.01592028599999935,0.0440055719999998,0.00074,13.1112,0.903,0.37,8.27262,2.44656,2.43756,20.75936,15.60202,0.014601286000000754,0.903,0.37,8.27262,2.44656,2.43756,20.75936,15.60202,,,,POINT (-79.396564 36.080558),-79.3966,36.08056,0,0,0,3139,560050,4650,16000,7500,10350,200600,50200,1,0,0
2.78,619.2938,0.009366285999999491,0.014601286000000754,0.0099775719999991,0.002671143000000029,0.005115714999999454,0.009793856999999661,0.026821856999999907,0.014903999999999086,0.0440055719999998,0.0,13.1112,0.903,0.37,8.27262,2.44656,2.43756,20.75936,15.60202,0.014601286000000754,0.903,0.37,8.27262,2.44656,2.43756,20.75936,15.60202,,,,POINT (-79.396518 36.080566),-79.3965,36.08058,0,0,0,3140,560000,4700,16050,7550,10300,200550,50150,1,0,0
0.01,619.7593286,0.009228856999999379,0.014601286000000754,0.0099775719999991,0.002671143000000029,0.005115714999999454,0.009793856999999661,0.026821856999999907,0.01592028599999935,0.0440055719999998,0.00074,13.1112,0.903,0.37,8.27262,2.44656,2.43756,20.75936,15.60202,0.014601286000000754,0.903,0.37,8.27262,2.44656,2.43756,20.75936,15.60202,,,,POINT (-79.396556 36.080574),-79.3966,36.08056,0,0,0,3139,560050,4650,16000,7500,10350,200600,50200,1,0,0
48.07,560.5483714,0.009425143000000843,0.012563857000000098,0.16035014299999945,0.07372857100000033,0.01723585700000058,0.02039814299999989,0.029640143000000306,0.1000005710000005,0.015200285999999324,3.05642,14.9876,13.0524,0.44638,18.4272,8.32592,11.71386,12.6384,4.8546,0.012563857000000098,13.0524,0.44638,18.4272,8.32592,11.71386,12.6384,4.8546,,,,POINT (-79.12245499999999 36.069156),-79.1225,36.06913,0,0,0,5250,454500,2950,121550,55350,1300,95050,50650,0,0,1
49.24,559.5102,0.01095842800000014,0.012563857000000098,0.14684185700000058,0.16035014299999945,0.016237714000000097,0.02039814299999989,0.04342657199999962,0.1000005710000005,0.015200285999999324,2e-05,14.9876,13.0524,0.44638,18.4272,8.32592,11.71386,12.6384,4.8546,0.012563857000000098,13.0524,0.44638,18.4272,8.32592,11.71386,12.6384,4.8546,,,,POINT (-79.122264 36.069168),-79.1223,36.06913,0,0,0,5252,454400,3050,121650,55450,1200,94950,50550,0,0,1
46.86,562.4234857,0.008703428999999686,0.012563857000000098,0.16035014299999945,0.013150857000000541,0.01723585700000058,0.02039814299999989,0.029640143000000306,0.1000005710000005,0.015200285999999324,8e-05,14.9876,13.0524,0.44638,18.4272,11.1344,9.5785,12.6384,4.8546,0.012563857000000098,13.0524,0.44638,18.4272,11.1344,9.5785,12.6384,4.8546,,,,POINT (-79.123256 36.06919799999999),-79.1232,36.06915,0,0,0,5245,454750,2700,121300,55100,1550,95300,50900,0,0,1
46.65,530.5290857,0.009817285999999967,0.02838428600000043,0.04520871399999919,0.03347771399999942,0.014051856999999472,0.012025285999999368,0.01802485699999977,0.022649999999999865,0.004267143000000147,0.00076,19.26312,4.0218,10.264,4.7804,14.59428,14.08598,22.3026,19.7848,0.02838428600000043,4.0218,10.264,4.7804,14.59428,14.08598,22.3026,19.7848,,,,POINT (-79.05317999999998 36.035926),-79.0531,36.0359,0,0,0,5903,421850,2350,154200,88000,7600,62400,18000,0,0,1
48.63,530.9681,0.007743285999999898,0.04520871399999919,0.02053414299999986,0.03347771399999942,0.014919285999999374,0.012025285999999368,0.01802485699999977,0.022649999999999865,0.004267143000000147,4e-05,19.26312,4.0218,10.264,4.7804,14.59428,14.08598,22.3026,19.7848,0.04520871399999919,4.0218,10.264,4.7804,14.59428,14.08598,22.3026,19.7848,,,,POINT (-79.053302 36.035926),-79.0533,36.03591,0,0,0,5902,421900,2300,154150,87950,7650,62450,18050,0,0,1
48.13,530.5290857,0.009817285999999967,0.02838428600000043,0.04520871399999919,0.03347771399999942,0.014051856999999472,0.012025285999999368,0.01802485699999977,0.022649999999999865,0.004267143000000147,0.00076,19.26312,4.0218,10.264,4.7804,14.59428,14.08598,22.3026,19.7848,0.02838428600000043,4.0218,10.264,4.7804,14.59428,14.08598,22.3026,19.7848,,,,POINT (-79.053141 36.035937999999994),-79.0531,36.0359,0,0,0,5903,421850,2350,154200,88000,7600,62400,18000,0,0,1
47.4,530.5290857,0.009817285999999967,0.02838428600000043,0.04520871399999919,0.03347771399999942,0.014051856999999472,0.012025285999999368,0.01802485699999977,0.022649999999999865,0.004267143000000147,0.00076,19.26312,4.0218,10.264,4.7804,14.59428,14.08598,22.3026,19.7848,0.02838428600000043,4.0218,10.264,4.7804,14.59428,14.08598,22.3026,19.7848,,,,POINT (-79.053149 36.03595700000001),-79.0531,36.0359,0,0,0,5903,421850,2350,154200,88000,7600,62400,18000,0,0,1
51.73,478.4708714,0.005458143000000177,0.01238042900000039,0.00682157200000006,-0.0035347139999998946,-0.001298285999999962,0.016191858000000253,0.01773228499999959,0.017360999999999648,0.040701571999999825,0.0,9.60296,0.916,5.1254,15.81278,14.8648,16.09134,14.6794,13.9544,0.01238042900000039,0.916,5.1254,15.81278,14.8648,16.09134,14.6794,13.9544,,,,POINT (-78.973521 36.026905000000006),-78.9736,36.02687,0,0,0,6535,390250,5800,185800,13600,1300,30800,38550,1,0,0
52.84,419.5502143,0.0031138570000001664,0.040701571999999825,0.021736856999999644,0.01773228499999959,0.016191858000000253,0.07974214299999971,0.00018514299999992546,0.09810471399999983,0.014307142000000113,0.0004,13.9544,14.6794,16.09134,14.8648,11.2558,2.4026,13.277,12.2306,0.040701571999999825,14.6794,16.09134,14.8648,11.2558,2.4026,13.277,12.2306,,,,POINT (-78.952754 36.020140999999995),-78.9528,36.02016,0,0,0,6739,380050,2300,196000,23800,1200,20600,28350,1,0,0
51.67,419.7073571,0.0030668570000000274,0.040701571999999825,0.014188000000000329,0.01773228499999959,0.016191858000000253,0.07974214299999971,0.0004494280000000117,0.09810471399999983,0.014307142000000113,0.0004,13.9544,14.6794,16.09134,14.8648,11.2558,2.4026,13.277,12.2306,0.040701571999999825,14.6794,16.09134,14.8648,11.2558,2.4026,13.277,12.2306,,,,POINT (-78.95293699999999 36.020236),-78.953,36.02023,0,0,0,6738,380100,2250,195950,23750,1250,20650,28400,1,0,0
6.99,422.7957143,0.005169999999999959,0.040701571999999825,0.017360999999999648,0.01773228499999959,0.016191858000000253,0.07974214299999971,0.005387428999999884,0.09810471399999983,0.014307142000000113,0.001,13.9544,14.6794,16.09134,14.8648,11.2558,5.8212,13.277,9.3018,0.040701571999999825,14.6794,16.09134,14.8648,11.2558,5.8212,13.277,9.3018,,,,POINT (-78.954409 36.021205),-78.9544,36.02113,0,0,0,6725,380750,1600,195300,23100,1900,21300,29050,0,0,1
51.89,423.9762,0.007753286000000231,0.040701571999999825,0.017360999999999648,0.01773228499999959,0.016191858000000253,0.07974214299999971,0.005387428999999884,0.09810471399999983,0.013379713999999581,0.0006,13.9544,14.6794,16.09134,14.8648,10.251,11.2558,13.277,9.3018,0.040701571999999825,14.6794,16.09134,14.8648,10.251,11.2558,13.277,9.3018,,,,POINT (-78.954722 36.021423),-78.9548,36.0214,0,0,0,6721,380950,1400,195100,22900,2100,21500,29250,1,0,0
51.87,426.5874,0.0051842859999999295,0.040701571999999825,0.017360999999999648,0.01773228499999959,0.016191858000000253,0.07974214299999971,0.005387428999999884,0.0016339999999996735,0.09810471399999983,0.0004,13.9544,14.6794,16.09134,14.8648,6.834,11.2558,11.7244,13.277,0.040701571999999825,14.6794,16.09134,14.8648,6.834,11.2558,11.7244,13.277,,,,POINT (-78.955432 36.02191899999999),-78.9555,36.02191,0,0,0,6714,381300,1050,194750,22550,2450,21850,29600,0,0,1
53.96,428.1245,0.004199285000000259,0.040701571999999825,0.01773228499999959,0.01718371399999967,0.016191858000000253,0.008281999999999812,0.07974214299999971,-0.0005472860000003266,0.09810471399999983,13.9544,9.2752,14.6794,16.09134,14.8648,6.834,11.2558,8.2028,13.277,0.040701571999999825,14.6794,16.09134,14.8648,6.834,11.2558,8.2028,13.277,,,,POINT (-78.95614899999998 36.022499),-78.9562,36.02247,0,0,0,6707,381650,700,194400,22200,2800,22200,29950,1,0,0
52.01,428.9496714,0.003153856999999789,0.040701571999999825,0.01773228499999959,0.01718371399999967,0.016191858000000253,0.008281999999999812,0.07974214299999971,-8.77140000000054e-05,0.09810471399999983,0.1138,9.2752,16.09134,13.57834,14.8648,13.9544,11.2558,8.2028,13.277,0.040701571999999825,16.09134,13.57834,14.8648,13.9544,11.2558,8.2028,13.277,,,,POINT (-78.956485 36.02283799999999),-78.9565,36.02283,0,0,0,6703,381850,500,194200,22000,3000,22400,30150,0,0,1
