Node_ID,Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_FOL_2500ft_ft,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Loco,Coach,CCU
4712,53.69,679.6212857,-0.011526428999999325,0.005395856999999751,0.011706143000000111,0.0036931430000004184,0.007282000000000153,-0.0006005720000007386,0.003562285000000429,0.003075714000000289,-0.0005154289999995854,0.0002,8.6222,12.7264,13.48258,2.66086,7.0132,0.92932,0.00138,0.43906,0.005395856999999751,12.7264,13.48258,2.66086,7.0132,0.92932,0.00138,0.43906,,,,POINT (-79.19109599999999 36.080397999999995),-79.1911,36.08036,0,0,0,4712,235600,4400,121950,77550,4250,94650,28450,2.0,4.0,0.0
3127,34.44,624.9909714,-0.006195286000000806,-0.007191856999999118,-0.0016908569999998235,0.012068715000000339,0.005151999999999362,-0.002444999999999027,0.0002460000000007767,0.0021834290000003875,0.006911142000000155,0.00054,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,1.5988,8.27262,-0.007191856999999118,2.43756,20.75936,15.60202,13.1112,0.903,1.5988,8.27262,,,,POINT (-79.398173 36.080276000000005),-79.3982,36.08023,0,0,0,3127,156350,10950,201200,50800,4050,15400,6900,1.0,4.0,1.0
3133,71.2,622.5235857,-0.00867828599999939,-0.007191856999999118,0.005176571000000649,0.012068715000000339,0.005151999999999362,-0.002444999999999027,0.0002460000000007767,0.000288857000000462,0.004370000000000119,0.0,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,0.664,8.27262,-0.007191856999999118,2.43756,20.75936,15.60202,13.1112,0.903,0.664,8.27262,,,,POINT (-79.39742599999998 36.080386999999995),-79.3974,36.0804,0,0,0,3133,156650,10650,200900,50500,4350,15700,7200,1.0,7.0,0.0
3134,69.23,622.0846857,-0.009166285999999673,-0.007191856999999118,0.005176571000000649,0.012068715000000339,0.005151999999999362,-0.002444999999999027,0.0002460000000007767,0.00016914300000053117,0.004370000000000119,0.00092,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,0.37,8.27262,-0.007191856999999118,2.43756,20.75936,15.60202,13.1112,0.903,0.37,8.27262,,,,POINT (-79.39722 36.080467),-79.3973,36.08042,0,0,0,3134,156700,10600,200850,50450,4400,15750,7250,2.0,4.0,0.0
3098,68.08,636.6801286,-0.006909286000000066,-0.002444999999999027,-0.005911714999999731,0.012068715000000339,0.002718284999999696,-0.004867857000000413,0.0002460000000007767,0.004370000000000119,0.01187242900000001,0.0,13.1112,0.0009,20.75936,15.60202,1.1462,0.37,7.3268,10.541,-0.002444999999999027,0.0009,20.75936,15.60202,1.1462,0.37,7.3268,10.541,,,,POINT (-79.40204099999998 36.080509),-79.4021,36.08042,0,0,0,3098,154900,12400,202650,52250,2600,13950,5450,2.0,4.0,0.0
3098,65.32,636.6801286,-0.006909286000000066,-0.002444999999999027,-0.005911714999999731,0.012068715000000339,0.002718284999999696,-0.004867857000000413,0.0002460000000007767,0.004370000000000119,0.01187242900000001,0.0,13.1112,0.0009,20.75936,15.60202,1.1462,0.37,7.3268,10.541,-0.002444999999999027,0.0009,20.75936,15.60202,1.1462,0.37,7.3268,10.541,,,,POINT (-79.40207999999998 36.080528),-79.4021,36.08042,0,0,0,3098,154900,12400,202650,52250,2600,13950,5450,2.0,4.0,0.0
3138,69.0,620.2166857,-0.00916714299999967,-0.006197856999999658,0.005176571000000649,0.012068715000000339,0.005151999999999362,-0.002444999999999027,-0.000710285999999769,0.0002460000000007767,0.004370000000000119,0.00074,2.44656,2.43756,20.75936,15.60202,13.1112,0.903,0.37,8.27262,-0.006197856999999658,2.43756,20.75936,15.60202,13.1112,0.903,0.37,8.27262,,,,POINT (-79.39676999999999 36.080558),-79.3967,36.08053,0,0,0,3138,156900,10400,200650,50250,4600,15950,7450,2.0,5.0,0.0
5246,48.77,562.0115571,-0.007568142999999737,0.007280572000000802,0.022628286000000344,0.10527342799999928,0.028804284999999936,0.024354285000000572,0.14887571399999955,-0.005818000000000438,0.00041142800000102395,2.52024,11.1344,9.5785,12.6384,4.8546,14.9876,13.0524,0.44638,18.4272,0.007280572000000802,9.5785,12.6384,4.8546,14.9876,13.0524,0.44638,18.4272,,,,POINT (-79.123103 36.069179000000005),-79.1231,36.06914,0,0,0,5246,262300,1500,95250,50850,2750,121350,55150,1.0,7.0,0.0
5252,50.34,559.5102,-0.01095842800000014,0.007280572000000802,0.022628286000000344,0.10527342799999928,0.0259457139999995,0.011286857000000055,0.14887571399999955,-0.005818000000000438,0.00041142800000102395,2e-05,8.32592,11.71386,12.6384,4.8546,14.9876,13.0524,0.44638,18.4272,0.007280572000000802,11.71386,12.6384,4.8546,14.9876,13.0524,0.44638,18.4272,,,,POINT (-79.12229399999998 36.069194),-79.1223,36.06913,0,0,0,5252,262600,1200,94950,50550,3050,121650,55450,1.0,7.0,0.0
5902,50.87,530.9681,-0.007743285999999898,-0.0018611420000002,0.006953857999999968,0.006517714000000297,0.012385143000000199,0.04288942899999938,0.007750570999999127,0.0211231429999998,0.026761142999999946,4e-05,14.59428,14.08598,22.3026,19.7848,19.26312,4.0218,10.264,4.7804,-0.0018611420000002,14.08598,22.3026,19.7848,19.26312,4.0218,10.264,4.7804,,,,POINT (-79.05325599999999 36.035937999999994),-79.0533,36.03591,0,0,0,5902,295100,7650,62450,18050,2300,154150,87950,2.0,4.0,0.0
